Page ID,Page name,Disclaimer,Amount spent (BOB)
217948432069023,Bolivia Maya,Bolivia Maya,≤100
106781781350031,QuiqueAlcalde,Enrique Leaño Palenque,≤100
964080723662055,Carlos Subirana Responde,Editorial CSS,≤100
106403237850347,Goberna Bolivia,Goberna,≤100
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,≤100
2101400553434707,Admisión-Escuela De Posgrado De La Unalm,These ads ran without a disclaimer,≤100
107585134511680,Jaime Mamani Espíndola,Wilmer Rivero Nino,≤100
331406083686277,Vladimir Peña,Vladimir Ariel Peña Virhuez,≤100
454868334556847,Huawei Latinoamérica,These ads ran without a disclaimer,≤100
109386503839531,Juliana Andrade,These ads ran without a disclaimer,≤100
187461997935711,Unilever Careers,These ads ran without a disclaimer,≤100
107989308686004,EFK Platform,These ads ran without a disclaimer,≤100
385385178182941,SIGNUS Ecovalor,These ads ran without a disclaimer,≤100
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100
102089678252706,Rotary Club for Global Action,These ads ran without a disclaimer,≤100
104831041291612,Israel Alcocer Candia,Eduardo Jose Chavez Aguilar,≤100
