Page ID,Page name,Disclaimer,Amount spent (LBP)
112056958469490,SPI Lebanon,SPI Lebanon,168657
1428873024044736,المدن - almodon,المدن - almodon‎,113881
1438703606372190,Elham Said Freiha,Elham Freiha,104478
105179449143831,Smart Municipality,SMA,104478
104835305827330,العودة إلى فلسطين,Hala Mohammed Zahwy,89552
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,44776
104918301844248,Project Watan LB,Project Watan,44776
101985661610385,Annahar Al Arabi,Annahar Al Arabi,29851
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,29851
2509759842418472,LebTalks,Lebtalks,20746
105319651353770,Jusur,Jusur,16269
2082052578716332,محمد شفيق حمود,Arab Window,14925
117345834653901,This is Beirut,Jad Najm,14925
101195012850076,مبادرة الدولة الديمقراطية الواحدة,مبادرة الدولة الديمقراطية الواحدة,14925
109278588419023,Fadi Nahas,Fadi Nahas,14925
116157328113022,Hide Park,Friedrich-Ebert-Stiftung Lebanon Office,14925
1744356319118477,هنا لبنان,هنا لبنان,14925
1012540132187376,Alafdal News الأفضل نيوز,These ads ran without a disclaimer,14925
488000654896540,Kulluna Irada - كلنا إرادة,Kulluna Irada,≤100
101821442049816,Hadath online,Wassim El Adhami,≤100
110470091436602,Ici Beyrouth,Ici beyrouth,≤100
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,≤100
154029261310643,LADE,LADE,≤100
137195823051820,Maharat Foundation,Maharat Foundation,≤100
158714780827513,UNFPA,These ads ran without a disclaimer,≤100
101845832471383,Jbeil District - قضاء جبيل,Jbeil District,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
107698404702208,Alkalima,Alkalima Onlime,≤100
104119104816293,ثورة لبنان من الإغتراب,These ads ran without a disclaimer,≤100
100706719315707,The Policy Initiative مبادرة سياسات الغد,The Policy Initiative مبادرة سياسات الغد,≤100
128417954019381,Al-Moltaka,Melhem Boustany,≤100
