Page ID,Page name,Disclaimer,Amount spent (NOK)
135843375926,UNICEF Norge,UNICEF Norge,254
102301918919791,Nidaros sosialdemokratisk forum,Nidaros sosialdemokratisk forum,138
218696598731100,Equinor,Equinor,≤100
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,≤100
236289346497856,Helsedirektoratet – Helsa di,Helsedirektoratet,≤100
139523776116756,Stjørdal Arbeiderparti,Bjørnar Strøm Larsen,≤100
344674789296133,McKinsey & Company Norge,McKinsey & Company Inc Norway,≤100
107005018213171,Heia Nord-Norge,Heia Nord-Norge AS,≤100
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,≤100
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,≤100
20468812735,LO,LO,≤100
168480760010,SLUG - Nettverk for rettferdig gjeldspolitikk,SLUG - Nettverk for rettferdig gjeldspolitikk,≤100
1161668587303783,Plantevekst,PlanteVekst,≤100
58345093445,Natur og Ungdom,Natur og Ungdom,≤100
171408368520,Norad,Norad,≤100
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,≤100
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,≤100
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,≤100
175438386701,Dagen,Dagbladet Dagen AS,≤100
1241838412569626,Novartis Norge,Novartis Norge AS,≤100
94140749496,HL-senteret,HL-senteret,≤100
105939782037295,Altinget.no,Altinget AS,≤100
186626994701210,Forbundet for Ledelse og Teknikk (FLT),Forbundet for Ledelse og Teknikk (FLT),≤100
111036919049229,Offshore Norge,Offshore Norge,≤100
102040431616976,Beaufort Solutions,Beaufort Solutions,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
178151959629,Europabevegelsen,Europabevegelsen i Norge,≤100
10254410675,Venstre,Venstre,≤100
128566103830426,Civita,Civita AS,≤100
109820865749775,Betong Norge - Betongelementforeningen,John E Reiersen,≤100
227165807403160,Vestland Innvandrerråd,Vestland Innvandrerråd,≤100
572167033209411,Meløy Venstre,Cecilie Hegge,≤100
1094736387315823,Ny Kurs Moss,Ny Kurs,≤100
157932564240522,Lørenskog FrP,Lørenskog FrP,≤100
226417544192807,Tankesmien Agenda,Tankesmien Agenda,≤100
173034686082674,UiO : Det humanistiske fakultet,"Det humanistiske fakultet, Universitetet i Oslo",≤100
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,≤100
