Page ID,Page name,Disclaimer,Amount spent (BOB)
1616241865111812,Soberanía Alimentaria IPDSA,Coordenada Digital,≤100
517750071766113,SEDES - BENI,Humberto Gil Arteaga,≤100
101824857848955,Enrique Urquidi - Diputado,Enrique Fernando Urquidi Daza,≤100
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,≤100
107585134511680,Jaime Mamani Espíndola,Wilmer Rivero Nino,≤100
114745199884039,Daly Santa María Aguirre,Daly Cristina Santa Maria Aguirre De Oropeza,≤100
314343331981142,Mundo Sano,These ads ran without a disclaimer,≤100
2328823850688165,José M. Ormachea,José M. Ormachea,≤100
1929798810569475,Somos de Warnes,Raul Paniagua Gil,≤100
108563945263823,Educación superior basado en competencias_ Bolivia,These ads ran without a disclaimer,≤100
233654837608,La Crónica de Hoy,These ads ran without a disclaimer,≤100
751269661657206,Bayer Crop Science México,These ads ran without a disclaimer,≤100
964080723662055,Carlos Subirana Responde,Editorial CSS,≤100
131314590235972,DW Español,These ads ran without a disclaimer,≤100
162964977170060,Solidar Suiza Bolivia - Doctora Edilicia,Doctora Edilicia,≤100
175709736294835,Fernanda Fernandes Photo,These ads ran without a disclaimer,≤100
