Page ID,Page name,Disclaimer,Amount spent (NOK)
14095969045,Fremskrittspartiet,Fremskrittspartiet,876
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,201
135843375926,UNICEF Norge,UNICEF Norge,156
111345183340,Fagforbundet,Fagforbundet,128
1430303507191895,Stange FrP,Stange FrP,128
151608890040,Innlandet FrP,Innlandet FrP,123
322525743444,Get Inspired,These ads ran without a disclaimer,≤100
275389322558295,LOs sommerpatrulje,LO,≤100
10953652930,Høyre,Høyre,≤100
157978627560195,Innlandet Arbeiderparti,Innlandet Arbeiderparti,≤100
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,≤100
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,≤100
203067569732001,Fellesforbundet,Fellesforbundet,≤100
371106536283235,DAG OG TID,Dag og Tid AS,≤100
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,≤100
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,≤100
200168040392101,Hustadvika kommune,These ads ran without a disclaimer,≤100
2345269782397274,Dovre Arbeiderparti,Dovre Arbeiderparti,≤100
117726821605303,PBL,PBL,≤100
1981140498790257,Ringsaker FrP,Ringsaker FrP,≤100
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,≤100
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,≤100
20468812735,LO,LO,≤100
157803497575876,NHO Reiseliv,NHO Reiseliv,≤100
587089404733523,Vestre Toten Arbeiderparti,Vestre Toten Arbeiderparti,≤100
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,≤100
798750773559841,Bufdir,"Barne-, ungdoms-, og familiedirektoratet",≤100
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,≤100
133640403364515,Næringsforeningen Haugalandet,Næringsforeningen Haugalandet,≤100
106716332332281,Njål Vigleik Grene-Johnsen,Njål Vigleik Grene-Johnsen,≤100
120374971332864,Kagge Forlag,Kagge Forlag,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge,≤100
119062344777724,Bjerke FrP,Bjerke FrP,≤100
1583324988565868,Stortinget,Stortinget,≤100
176175415825122,apotek.no,Apotekforeningen,≤100
105939782037295,Altinget.no,Altinget AS,≤100
60540214886,Lederne,These ads ran without a disclaimer,≤100
109463625396089,Buskerud Høyre,Buskerud Høyre,≤100
102203325950193,Ingvild Lemme Kristiansen,Stendi,≤100
10254410675,Venstre,Venstre,≤100
132368899297,Framtiden i våre hender,Framtiden i våre hender,≤100
111322125898812,Filter Nyheter,Filter Nyheter,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
116313645108382,IFE - Institutt for energiteknikk,IFE - Institutt for energiteknikk,≤100
100588890043714,Bodø FrP,Bodø FrP,≤100
2398568533531114,Velferdsmiks,NHO Geneo,≤100
179839425383047,Yrkestrafikkforbundet - YTF,Yrkestrafikkforbundet,≤100
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,≤100
212877289145936,Frøya Senterparti,Frøya Senterparti,≤100
226417544192807,Tankesmien Agenda,Tankesmien Agenda,≤100
157932564240522,Lørenskog FrP,Lørenskog FrP,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
100885889429302,Verdinytt,Verdinytt AS,≤100
533651323368005,Nordland FrP,Nordland FrP,≤100
189196954458836,Klar Tale,Stiftelsen Klar Tale,≤100
108203984145752,Kruse Larsen,Kruse Larsen,≤100
200983583270624,NHO Service og Handel,NHO Service og Handel,≤100
54603926197,Finnmark SV,Troms og Finnmark SV,≤100
219212891435404,Ullensaker FrP,Ullensaker FrP,≤100
609322219124074,Bærum MDG,Bærum Miljøpartiet de Grønne,≤100
163294213706703,Norsk Sjøoffisersforbund,Norsk Sjøoffisersforbund,≤100
128566103830426,Civita,Civita AS,≤100
718942011483190,Aftenposten Historie,Aftenposten,≤100
1527451180873336,Eidsvoll Arbeiderparti,Eidsvoll Arbeiderparti,≤100
730770907052378,Aurskog-Høland Senterparti,Aurskog-Høland Senterparti,≤100
224058237610836,Lørenskog Venstre,Lørenskog Venstre,≤100
186245021399622,Agder Senterparti,Agder Senterparti,≤100
105939459530874,Eidsvoll SV,EIDSVOLL SOSIALISTISK VENSTREPARTI,≤100
100107876331492,Telemark Arbeiderparti,Telemark Arbeiderparti,≤100
298964320208914,Lillesand Høyre,Lillesand Høyre,≤100
136206693091663,Norges Fiskarlag,Norges Fiskarlag,≤100
120446271352301,Nord universitet,These ads ran without a disclaimer,≤100
1675238756125829,Aure Senterparti,Aure Senterparti,≤100
57542291449,FFO - Funksjonshemmedes fellesorganisasjon,Funksjonshemmedes Fellesorganisasjon (FFO),≤100
307525272933,Humanist forlag,Humanist forlag,≤100
156202914404133,Minerva,Mediehuset Minerva,≤100
182722095112422,Målselv Arbeiderparti,Målselv Arbeiderparti,≤100
338491586344479,Kristiansand MDG,Kristiansand MDG,≤100
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,≤100
112631767587663,Meninger24,Meninger24,≤100
138037156286388,Midt-Telemark Arbeiderparti,Midt-Telemark Arbeiderparti,≤100
656546967805880,Miljøpartiet De Grønne Nittedal,Miljøpartiet De Grønne Nittedal,≤100
112828598803706,Lillestrøm Venstre,Lillestrøm Venstre,≤100
108350544421634,How&Why,These ads ran without a disclaimer,≤100
205332123261241,Знакомства RusDate,These ads ran without a disclaimer,≤100
185741612014,Nordisk Ministerråd og Nordisk Råd,These ads ran without a disclaimer,≤100
117706891348378,Срочные Hовости,These ads ran without a disclaimer,≤100
1934217819955006,Alf Erik Andersen- FrP,Alf Erik Andersen- FrP,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
