Page ID,Page name,Disclaimer,Amount spent (GTQ)
167924689961661,Unidad Nacional de la Esperanza,Leonel Aníbal Quiñónez Aguilar,113
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,≤100
1911003529195315,Roberto Arzú,Roberto Arzú García-Granados,≤100
142556265766634,Guatemala Visible,Guatemala Visible,≤100
1630952833827354,Armando Castillo,Armando  Damian Castillo Alvarado,≤100
754661271544464,El Sol de Mixco,El Sol de Mixco,≤100
110582257361172,Partido Azul,Diego Armando Orellana,≤100
331961940541181,Partido Victoria,Partido Político Victoria,≤100
106908785419555,Goberna Guatemala,Goberna,≤100
233654837608,La Crónica de Hoy,These ads ran without a disclaimer,≤100
751269661657206,Bayer Crop Science México,These ads ran without a disclaimer,≤100
