Page ID,Page name,Disclaimer,Amount spent (LBP)
106197498149118,لبنان الكبير,Grand Lebanon,35182
1438703606372190,Elham Said Freiha,Elham Freiha,27273
316674545036384,SKeyes Center for Media and Cultural Freedom,SK_Eyes,24242
466221740108607,May Chidiac Foundation - Media Institute,May Chidiac,19758
394633411339696,fiftyfiftylb,FiftyFiftylb,19697
102023711572671,أساس ميديا -  Asas Media,asasmedia,15409
164472683608068,Act for the Disappeared,ACT for the Disappeared,15152
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,15152
110470091436602,Ici Beyrouth,Ici beyrouth,10606
101241044906111,هنا لبنان,هنا لبنان,10606
192450177479702,Abaad,Abaad Resource Center for Gender Equality,7576
129660230432028,Dr. Toufic Hindi,Toufic Hindi,6061
101538412538521,شطرنج / مع محمد صابونجي,إياد خالد,4545
107698404702208,Alkalima,Alkalima Onlime,3030
105758000974645,TAQADDOM - تقدم,Taqaddom,3030
107266890756055,Nicolas Chikhani Finance,Nicolas Chikhani Finance,3030
126052760507,Mama Cash,These ads ran without a disclaimer,1564
1031517763602384,Municipality of Kartaba - بلدية قرطبا,Municipality of Kartaba - بلدية قرطبا,1515
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,1515
103064288692603,Le Courrier Du Cedre,Marwan Rashid,1515
141039382740595,National Commission For Lebanese Women NCLW,National Commission For Lebanese Women NCLW,1515
109112633772887,180post,180Post,1515
278035695547539,Legal Agenda  المفكرة القانونية,Legal Agenda  المفكرة القانونية,1303
158714780827513,UNFPA,These ads ran without a disclaimer,803
133347086742087,SHAREK ONLINE,These ads ran without a disclaimer,556
104252028606448,صوت بنت جبيل,صوت بنت جبيل,≤100
191347651290,China Daily,These ads ran without a disclaimer,≤100
110387038264357,Viral In World,These ads ran without a disclaimer,≤100
111876598323760,صدى الارز اللبنانية,Charbel Nouh,≤100
106821968055687,Leila Dagher,Leila Dagher,≤100
2082052578716332,محمد شفيق حمود,Arab Window,≤100
