Page ID,Page name,Disclaimer,Amount spent (NOK)
14095969045,Fremskrittspartiet,Fremskrittspartiet,1251
111345183340,Fagforbundet,Fagforbundet,1068
20468812735,LO,LO,1039
203067569732001,Fellesforbundet,Fellesforbundet,897
135843375926,UNICEF Norge,UNICEF Norge,771
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,471
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,447
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,435
275389322558295,LOs sommerpatrulje,LO,343
711789545902081,Marit Vea,Oslo Venstre,326
371106536283235,DAG OG TID,Dag og Tid AS,288
104701569617247,Arbeid & Inkludering,Arbeid & Inkludering,256
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,228
351810391628079,Hallstein Bjercke,Oslo Venstre,221
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,208
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,206
176175415825122,apotek.no,Apotekforeningen,176
132368899297,Framtiden i våre hender,Framtiden i våre hender,142
322525743444,Get Inspired,These ads ran without a disclaimer,128
141589002521022,Oslo Høyre,Oslo Høyre,109
105706168752816,NHO Geneo,NHO Geneo,103
10953652930,Høyre,Høyre,≤100
171619972854769,Oslo Arbeiderparti,Oslo Arbeiderparti,≤100
136206693091663,Norges Fiskarlag,Norges Fiskarlag,≤100
108203984145752,Kruse Larsen,Kruse Larsen,≤100
2398568533531114,Velferdsmiks,NHO Geneo,≤100
609322219124074,Bærum MDG,Bærum Miljøpartiet de Grønne,≤100
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,≤100
180922468616209,Oslo SV,Oslo SV,≤100
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,≤100
126448980866214,Klassekampen,Klassekampen,≤100
226417544192807,Tankesmien Agenda,Tankesmien Agenda,≤100
200168040392101,Hustadvika kommune,These ads ran without a disclaimer,≤100
189828081044593,MS-forbundet i Norge,Ms-forbundet,≤100
412991556169510,Ole Hovengen,Ole Hovengen,≤100
105939782037295,Altinget.no,Altinget AS,≤100
133640403364515,Næringsforeningen Haugalandet,Næringsforeningen Haugalandet,≤100
60540214886,Lederne,These ads ran without a disclaimer,≤100
182454165137980,TRY,TRY,≤100
1583324988565868,Stortinget,Stortinget,≤100
120374971332864,Kagge Forlag,Kagge Forlag,≤100
116313645108382,IFE - Institutt for energiteknikk,IFE - Institutt for energiteknikk,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
189196954458836,Klar Tale,Stiftelsen Klar Tale,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
197275503655021,Nordre Follo Senterparti,Senterpartiet,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge,≤100
157803497575876,NHO Reiseliv,NHO Reiseliv,≤100
107005018213171,Heia Nord-Norge,Heia Nord-Norge AS,≤100
230808690265272,Drammen SV,Drammen SV,≤100
210624562284961,Frogn Arbeiderparti,Frogn Arbeiderparti,≤100
120446271352301,Nord universitet,These ads ran without a disclaimer,≤100
129172787092846,Norsk Kennel Klub (NKK),These ads ran without a disclaimer,≤100
102203325950193,Ingvild Lemme Kristiansen,Stendi,≤100
179839425383047,Yrkestrafikkforbundet - YTF,Yrkestrafikkforbundet,≤100
730770907052378,Aurskog-Høland Senterparti,Aurskog-Høland Senterparti,≤100
57542291449,FFO - Funksjonshemmedes fellesorganisasjon,Funksjonshemmedes Fellesorganisasjon (FFO),≤100
112631767587663,Meninger24,Meninger24,≤100
112632125462357,Gjøvik og Toten Venstre,Gjøvik og Toten Venstre,≤100
1094736387315823,Ny Kurs Moss,Ny Kurs,≤100
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,≤100
426489054185232,Kristiansand Arbeiderparti,Kristiansand Arbeiderparti,≤100
112828598803706,Lillestrøm Venstre,Lillestrøm Venstre,≤100
91007335905,Aurskog-Høland Arbeiderparti,Akershus Arbeiderparti,≤100
578043708953655,Alta Senterparti,These ads ran without a disclaimer,≤100
307525272933,Humanist forlag,Humanist forlag,≤100
10254410675,Venstre,Venstre,≤100
1527451180873336,Eidsvoll Arbeiderparti,Eidsvoll Arbeiderparti,≤100
102661254440027,Pårørendeaksjonen Moss - For en verdig alderdom,Pårørendeaksjonen Moss - For en verdig alderdom,≤100
100885889429302,Verdinytt,Verdinytt AS,≤100
163294213706703,Norsk Sjøoffisersforbund,Norsk Sjøoffisersforbund,≤100
7783116506,Animals Asia,These ads ran without a disclaimer,≤100
115337815202380,Birkenes Høyre,Birkenes Høyre,≤100
675104515923877,Enebakk KrF,Enebakk KrF,≤100
111322125898812,Filter Nyheter,Filter Nyheter,≤100
374063182786402,Alvdal Senterparti,Alvdal Senterparti,≤100
118470544845764,Moss SV,Moss SV,≤100
107862825603742,Partiet Sentrum Grimstad,Partiet Sentrum Grimstad,≤100
298357179829,Trondheim Arbeiderparti,Trondheim Arbeiderparti,≤100
367798489898591,Tønsberg Arbeiderparti,Tønsberg Arbeiderparti,≤100
185741612014,Nordisk Ministerråd og Nordisk Råd,These ads ran without a disclaimer,≤100
109653868261487,denizgoran_tamtekin,These ads ran without a disclaimer,≤100
103736139244309,Coach Mercedez Lerne,These ads ran without a disclaimer,≤100
105902672565367,The Daily Newsline,These ads ran without a disclaimer,≤100
550751965021284,Success Resources,These ads ran without a disclaimer,≤100
