Page ID,Page name,Disclaimer,Amount spent (ZAR)
71617814288,Padilla,These ads ran without a disclaimer,568
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,156
6011868110,Democratic Alliance,Democratic Alliance,≤100
57206003848,Greenpeace Africa,Greenpeace Africa,≤100
136956534616,Times LIVE,TimesLIVE,≤100
133307190069756,Amnesty International South Africa,Amnesty International South Africa,≤100
107169379305548,TLU SA,TLU SA,≤100
478479492268974,Sunday Times ZA,Sunday Times,≤100
114506216924214,Centre For Risk Analysis,Centre For Risk Analysis,≤100
2145594122138312,Action Society,Action Society,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
225941290782035,Parliament of the Republic of South Africa,Parliament of the Republic of South Africa,≤100
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100
614441158766955,Vote Dr Sipho P. Malapane 2024,Sipho Pienaar Malapane,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
108373474911757,Cederberg Eerste Gemeenskapsorganisasie,Cederberg Eerste Gemeenskapsorganisasie,≤100
379138726819,ACDP,African Christian Democratic Party,≤100
165736836881428,GroundUp,GroundUp News NPC,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
629021617133721,Judges Matter,Judges Matter,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
103278761413963,Empowering SA,Empowering SA,≤100
141100792595323,Community Chest Durban,Gordon Mc Donald,≤100
1770207119865540,Civics Academy ZA,Civics Academy ZA,≤100
321608464631258,Metropolitan,These ads ran without a disclaimer,≤100
100827405690611,Midvaal Mayor Peter Teixeira,Midvaal Local Municipality,≤100
10750083165,The Africa Report,These ads ran without a disclaimer,≤100
529955580364212,SMA International,These ads ran without a disclaimer,≤100
