Page ID,Page name,Disclaimer,Amount spent (BAM)
163322863710900,Evropska unija u Bosni i Hercegovini,Ured spec. predstavnika,580
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
197596636939679,tacno.net,Tacno.net,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
109652028193268,Revizije info,Revizije info,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100
147315858633088,Istinomjer,Istinomjer,≤100
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
1607622842896752,interview.ba,Fondacija Infohuse,≤100
120481645203741,Dragan Bursać,Dragan Bursać,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
163080080447411,Републичка странка Српске,Filip Lučić,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
104089781069241,infoVeza,"Udruženje građana ""ReStart Srpska""",≤100
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
85069283164,Admir Čavalić,Admir Čavalić,≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
2430163100537312,Spin Info,Spin Media,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Filip Lučić,≤100
103763599243675,Aiko,These ads ran without a disclaimer,≤100
2148421271917226,Nedim Salihagić,Salihagić Nedim,≤100
