Page ID,Page name,Disclaimer,Amount spent (ILS)
103907495935157,צו חירום,צו חירום,320
2087629251480875,רונן מרלי - Ronen Marelly,רונן מרלי - Ronen Marelly,262
100663859328863,עופרי סיידה,עופרי סיידה,208
1915868198652314,האם ראית את האופק לאחרונה?,האם ראית את האופק לאחרונה?,193
100570949591846,שניר פרידמן - לראשות מועצה אזורית הגלבוע,שניר פרידמן,179
256244498134186,אגף הביטחון - משרד ראש הממשלה,אגף הביטחון - משרד ראש הממשלה,177
554308731366675,محامون من أجل إدارة سليمة - Lawyers for Good Governance,محامون من أجل إدارة سليمة - Lawyers for Good Governance,166
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,154
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,132
107701748905637,באהבה ליהודי אוקראינה,הרב הראשי לאוקראינה משה ראובן אסמן,129
107796574338168,אמיר ברוט,אמיר ברוט,128
204780362875106,מקור ראשון,מקור ראשון,125
189543984502825,משה קונינסקי,משה קונינסקי,111
109523830757998,דמוקרטtv,דרכנו,≤100
311608178901833,الجمعية الإسلامية لإغاثة الأيتام والمحتاجين,Amjd Hamdan,≤100
977353718949028,מיקי זוהר-  Micki Zohar,ח״כ מיקי זוהר  Micki Zohar,≤100
159416337497662,Nir Barkat - ניר ברקת,Nir Barkat - ניר ברקת,≤100
116311335054069,My Israel | ישראל שלי,My Israel | ישראל שלי,≤100
128641160502301,גלובס - Globes,גלובס - Globes,≤100
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",≤100
250947744954005,התנועה הקיבוצית,התנועה הקיבוצית,≤100
134896023193138,יוזמת ז'נבה,יוזמת ז'נבה,≤100
108787681841168,רישיון נשק בקליק,Michael Michel Levi,≤100
1029616787159895,יהודה דואה,Yehuda Dua,≤100
106136394376777,Idan Yakov,Rama Yarimi,≤100
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,≤100
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,≤100
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,≤100
337591096309750,Embassy of Ukraine in the State of Israel,Embassy of Ukraine in the State of Israel,≤100
790149967713981,דרכנו,דרכנו,≤100
162089177185799,התאחדות התעשיינים בישראל,התאחדות התעשיינים בישראל,≤100
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,≤100
210968782252395,פתחון לב,פתחון לב,≤100
709216422557802,ז'קי לוי,ז'קי לוי,≤100
134252303927914,Майкл Мур - מייקל מור,Майкл Мур - מייקל מור,≤100
332700480267046,מועצה אזורית מטה אשר,מועצה אזורית מטה אשר,≤100
121181764576038,ORT Israel - אורט ישראל,ORT Israel - אורט ישראל,≤100
412916482543700,שוקי אוחנה Shuki Ohana,שוקי אוחנה,≤100
426502237384307,מפלגת יש עתיד,מפלגת יש עתיד,≤100
537993479619524,אבי אלקבץ עפולה אחת,אבי אלקבץ,≤100
558702227875758,רוני רימון,רוני רימון,≤100
155300937864628,המרכז להעצמת האזרח,המרכז להעצמת האזרח,≤100
1913755198907011,"המרכז הרפואי לטיפול בהשמנה - ד""ר רז",המרכז הרפואי לטיפול בהשמנה,≤100
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,≤100
108760035823125,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,≤100
1073548259341247,לובי 99,לובי 99,≤100
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,≤100
263337740379308,Ran Rahav,Ran Rahav Communications & Public Relations LTD,≤100
1160881603976024,מס אמת לרכב עבודה,מס אמת לרכב עבודה,≤100
94258847306,האגודה לזכויות האזרח בישראל,האגודה לזכויות האזרח בישראל,≤100
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,≤100
33942762466,Shalom Hartman Institute מכון שלום הרטמן,Shalom Hartman Institute - מכון שלום הרטמן,≤100
179266922268816,שלמה מליחי - Shlomo Malihi,שלמה מליחי,≤100
164934630690102,החברה לפיתוח הגליל,"פיתוח הגליל- מג""ע",≤100
34775063966,גדעון סער | Gideon Saar,גדעון סער | Gideon Saar,≤100
104743111658191,Ron Ben Shushan,רון בן שושן,≤100
57400032655,קבלה לעם,"בני ברוך קבלה לעם ע""ר",≤100
119925112062377,חדשות האנרגיה הירוקה,Eitan Parnass,≤100
108815978739436,רמי יוסף - יחד ננצח,Neria Yosef,≤100
158195257562237,מיכאל לייטמן,"בני ברוך קבלה לעם ע""ר",≤100
103183301914371,כוח של אמא,Nataly Milner,≤100
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,≤100
655073717925481,קרן ברל כצנלסון,קרן ברל כצנלסון,≤100
100333626297666,هآرتس بالعربي,Orly Dumitrescu,≤100
1822651321364643,121 - מנוע לשינוי חברתי,121 - מנוע לשינוי חברתי,≤100
604890186681585,מור ויצמן,Mor Weitzman,≤100
1877834875821470,איגוד הסגל האקדמי במכללות הציבוריות,כוח לעובדים,≤100
100301088671913,Tal Hershkovitz,Tal Hershkovitz,≤100
172654247853282,Shenhav musanbar,Shenhav Musanbar,≤100
1392138171047822,"ארגון נכי צה""ל","ארגון נכי צה""ל",≤100
212508465430143,מען ארגון עובדים  معًا - نقابة عمالية MAAN Workers Association,WAC-MAAN,≤100
100585238528895,לובי המיליון,One Million Lobby לובי המיליון,≤100
161804953943328,Яир Лапид,יש עתיד - בראשות יאיר לפיד,≤100
767262423350854,פורום הדיור הציבורי,Danny Gigi,≤100
271404389601060,Yaakov Hagoel - יעקב חגואל,Yaakov Hagoel - יעקב חגואל,≤100
