Page ID,Page name,Disclaimer,Amount spent (ZAR)
102268322635915,The Finance Daily,The Finance Daily,331
153698181363705,Democratic Alliance Eastern Cape,Democratic Alliance,151
123971017684407,HeraldLIVE - Nelson Mandela Bay,HeraldLIVE,≤100
2086579854976264,"Andrew Whitfield, MP",Democratic Alliance,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
2145594122138312,Action Society,Action Society,≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
112315630440653,Cape Independence Advocacy Group,Cape Independence Advocacy Group,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
530927007388252,Vrye Weekblad,Vrye Weekblad (Nuwe Vrye Weekblad Mediagroep),≤100
446648162438519,Thisisacumen,Acumen Media Management,≤100
337719597523,Mambaonline.com,MambaOnline cc,≤100
614441158766955,Vote Dr Sipho P. Malapane And The Independent Campaign 2024,Sipho Pienaar Malapane,≤100
101875319855400,Carte Blanche,These ads ran without a disclaimer,≤100
259810117830434,Minister Divine N,These ads ran without a disclaimer,≤100
112933978402440,Zackie2024,ZA2024,≤100
134278719946186,Bayer,These ads ran without a disclaimer,≤100
114383054897163,The new world order,These ads ran without a disclaimer,≤100
44409199155,Amazon Conservation Team,These ads ran without a disclaimer,≤100
