Page ID,Page name,Disclaimer,Amount spent (GBP)
166335402260,Scottish Water,Scottish Water,547
105325515394672,Local Recovery,Local Recovery,535
104677264773039,We Eat Balanced,Agriculture and Horticulture Development Board,521
102639461303190,Fair Pay For All,Fair Pay For All,501
311627208673,WWF UK,WWF UK,368
159100234275780,UK Government Scotland,Office of the Secretary of State for Scotland,366
200786289976224,The Scottish Government,The Scottish Government,272
7715002593,UNICEF UK,Unicef UK,229
1645963095654688,Healthier Scotland,The Scottish Government,198
158077247591710,Refuge,Refuge,151
442816382865338,Social Security Scotland,Social Security Scotland,149
47612991154,Dignity in Dying,Dignity in Dying,125
7214031395,Oxfam Great Britain,Oxfam Great Britain,116
9250349228,Greenpeace UK,Greenpeace UK,115
158077247591710,Refuge,Refuge with Facebook ad credits,113
799576543492660,The Week Junior,The Week Junior,110
175316065881756,How to Waste Less Scotland,Zero Waste Scotland,107
319720638145510,NatureScot,NatureScot,103
105414346223667,The Scottish Parliament,The Scottish Parliament,101
121936349543,World Vision UK,World Vision UK,≤100
112712550420527,Sumofus UK,SumOfUs,≤100
348366988862054,Oxfam Campaigns,Oxfam Great Britain,≤100
320344981331677,Net Zero Scotland,The Scottish Government,≤100
61863318139,World Resources Institute,World Resources Institute with Facebook ad credits,≤100
220543443746,International Rescue Committee - UK,International Rescue Committee UK,≤100
35671512696,World Animal Protection UK,World Animal Protection UK,≤100
18168505158,The Woodland Trust,Woodland Trust,≤100
7527864602,WaterAid UK,WaterAid UK,≤100
110934940687948,"Sharon Graham - General Secretary, Unite the Union",Unite Sharon Graham,≤100
130691686966490,See Me Scotland,SAMH,≤100
7043497714,Christian Aid,Christian Aid,≤100
106946654868342,Water's Worth Saving,Water UK,≤100
7624294394,Amnesty International UK,Amnesty International UK,≤100
394936823930287,Age International,Age International,≤100
208573062515662,Freedom from Torture,Freedom from Torture,≤100
249209468838241,Good Law Project,Good Law Project,≤100
117476785190,Save the Children UK,Save the Children UK,≤100
6708565748,CBM UK,CBM UK,≤100
18044497940,Plan International UK,Plan International UK,≤100
10986039307,VSO,VSO,≤100
177855115588808,The Week UK,The Week UK,≤100
103662352102391,Family Debt Help,Ian Keith Parsons,≤100
195754307110390,Right To Life UK,Right To Life UK,≤100
2558329857727118,Families In Debt,Families in debt,≤100
103559634900519,Oltco Ltd,Oltco Ltd,≤100
490007667679401,Hugh James,Hugh James,≤100
103835971750,Orbis UK,Orbis UK,≤100
39605200520,ActionAid UK,ActionAid UK,≤100
6707857033,Global Justice Now,Global Justice Now,≤100
55984857501,Open Doors UK & Ireland,Open Doors with Brother Andrew,≤100
569834799727730,National Grid UK,National Grid UK,≤100
13047522725,Crimestoppers,Crimestoppers,≤100
18933990398,Stonewall,Stonewall UK,≤100
143664152344192,WWF Scotland,WWF Scotland,≤100
248887561894779,Home Energy Scotland,Energy Saving Trust,≤100
110538548040758,Care2 UK,John Ayling & Associates,≤100
63451405593,NFU Online,NFU Online,≤100
7950759473,Cancer Research UK,Cancer Research UK,≤100
101255718164248,350 UK,350.org,≤100
164362913586214,Womankind Worldwide,Womankind Worldwide,≤100
166289303844685,Action on Sectarianism,Action on Sectarianism,≤100
1046117708754519,Care4Calais,Care4Calais,≤100
139695000173,Good Energy,Good Energy,≤100
196603287038373,Edinburgh Children's Hospital Charity,Edinburgh Children’s Hospital Charity,≤100
1738524969810037,Mission India UK,Mission India UK,≤100
149666996584,Federation of Small Businesses - FSB,Federation of Small Businesses,≤100
886540824807022,Switch Off And Breathe,West Lothian Council,≤100
211614899544570,Long Live The Local,British Beer & Pub Association,≤100
246872175166,Action Against Hunger UK,Action Against Hunger UK,≤100
53108467689,National Lottery Good Causes,The National Lottery,≤100
290498754454402,European Movement UK,European Movement UK,≤100
167770553778,Hospice UK,Hospice UK,≤100
119436041436456,ESPC,ESPC,≤100
1605655456361311,Mr. D,These ads ran without a disclaimer,≤100
113277290454039,Common Seas,Common Seas,≤100
319465674441,Game & Wildlife Conservation Trust (GWCT),Game & Wildlife Conservation Trust (GWCT),≤100
287501884208,Met Office,Met Office,≤100
18366996074,War on Want,War on Want,≤100
873550809444862,Mighty Earth,Mighty Earth,≤100
114651147002520,SSE Energy Solutions,SSE,≤100
11965205188,Practical Action,Practical Action,≤100
113381307050565,Wild Justice,Wild Justice,≤100
1660600037490738,Guardian Labs,Guardian Labs,≤100
2047806148766050,Animal Equality UK,Animal Equality UK,≤100
9695206314,Sustrans,Sustrans,≤100
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,≤100
358706239805,Scope,Scope,≤100
303760836322372,Bullen Healthcare,Bullen Healthcare,≤100
112845639376,Refugee Action,Refugee Action,≤100
17999726169,Scottish Green Party,Scottish Green Party,≤100
346684596111093,KinKind,KinKind Ltd,≤100
2015966338421658,Kids Operating Room,Kids Operating Room,≤100
353224381469808,ifaw,IFAW,≤100
8422578815,Soil Association,Soil Association,≤100
138007436233900,Public Health Agency,Public Health Agency,≤100
601388547012748,Ecologi,Ecologi,≤100
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100
352254431506201,Shout Out UK,Shout Out UK,≤100
351940601513765,Falkirk Council,Falkirk Council,≤100
167898406587045,Holiday Extras,These ads ran without a disclaimer,≤100
37981137361,The Children's Society,The Children's Society,≤100
138975109451461,Free Tibet,Free Tibet,≤100
358531814192900,Bloomsbury Publishing UK,Bloomsbury Publishing UK,≤100
183759769950,First News,These ads ran without a disclaimer,≤100
101886255290758,SNP Pentlands West,Dylan James Roberts,≤100
112602514407520,Stop Cambo,Uplift,≤100
134271016653249,World Jewish Relief,World Jewish Relief,≤100
165419234746,Full Fact,Full Fact,≤100
1382619538645569,CARES at Local Energy Scotland,Local Energy Scotland,≤100
1486841851361953,Power for People,Corinna Quinn Miller,≤100
101078319487563,Discovering Quakers,Discovering Quakers,≤100
