Page ID,Page name,Disclaimer,Amount spent (BAM)
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,213
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
1894157260888813,Dr Vlado Đajić - Др Владо Ђајић,Vlado Đajić,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
162926690478548,Oslobodjenje,Oslobodjenje,≤100
151296002169571,Jelena Trivic,Jelena Trivic,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
102667249419191,GenChange,Arijana Trle,≤100
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100
103027944875536,Маја Драгојевић Стојић - Maja Dragojević Stojić,Предраг Кукољ,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,≤100
1407894932868655,Omladinski Pokret Revolt,Omladinski pokret Revolt,≤100
2430163100537312,Spin Info,Spin Media,≤100
147315858633088,Istinomjer,Istinomjer,≤100
163080080447411,Републичка странка Српске,Filip Lučić,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100
753740401664958,Omer Berbić - vijećnik u GV Tuzla,Omer Berbic,≤100
9659541299,Radio Sarajevo,These ads ran without a disclaimer,≤100
1607622842896752,interview.ba,These ads ran without a disclaimer,≤100
326185650853734,Zukan Helez,OO SDP BiH Bugojno,≤100
120481645203741,Dragan Bursać,Dragan Bursać,≤100
85069283164,Admir Čavalić,Admir Čavalić,≤100
100733242113653,Porodice 3 plus,Porodice 3 plus,≤100
417853371621843,Mirnes Ajanović,Mirnes Ajanović,≤100
1473660889517303,Irfan Čengić,Irfan Cengic,≤100
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100
