Page ID,Page name,Disclaimer,Amount spent (DKK)
101875098313543,Andel,Andel,7341
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,4588
59143726810,Psykiatrifonden,Psykiatrifonden,2285
65929129383,Røde Kors,Røde Kors,1293
12860228293,Politiken,Politiken,1137
26458152911,SOS Børnebyerne,SOS Børnebyerne,874
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,858
116269191760882,DSB,DSB,848
250994288337708,Sex og Samfund,Sex og Samfund,733
108041771950114,Danmarksdemokraterne,Danmarksdemokraterne,718
399210657232918,PlanBørnefonden,PlanBørnefonden,690
122074554119,EU Social,EU Social,626
55365680705,Greenpeace Danmark,Greenpeace Danmark,594
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,444
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),384
671022293105597,Alex Vanopslagh,Alex Vanopslagh,383
154415494575789,IDA,IDA,380
12787473132,Berlingske,Berlingske,375
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,363
126543540781090,Ældre Sagen,Ældre Sagen,347
110321008383861,Red Barnets landsindsamling,Red Barnet,317
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,315
459641371068935,Forenet Kredit,Forenet Kredit,298
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,294
182121298931589,Odense Kommune,Odense Kommune,291
41459763029,Socialdemokratiet,Socialdemokratiet,290
304554445813,Videncentret Bolius,Videncentret Bolius,279
359674067377201,BUPL,BUPL,258
144965885963,Oxfam Danmark,Oxfam Danmark,242
320982581296484,TV 2 Play,TV 2 Danmark A/S,226
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,220
133707013355759,Danner,Danner,218
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,217
49348971479,Pia Olsen Dyhr,SF,198
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,197
200709746630443,Dyrenes Beskyttelse,Dyrenes Beskyttelse,184
867877683280051,Weekendavisen,Weekendavisen,167
72672361910,Børns Vilkår,Børns Vilkår,166
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,163
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,163
142831282424266,Åbent Landbrug,Landbrug & Fødevarer,161
105511328705392,HØRT,Børns Vilkår,157
102154048301476,Lederstof.dk,Lederne,154
304554445813,Videncentret Bolius,Bolius,154
101286428483346,Annette Blynel,SF - Socialistisk Folkeparti,150
104414898912918,GOTO Sønderborg,GOTO Sønderborg,144
36664432940,Amnesty International Danmark,Amnesty International Danmark,133
369336273158091,Land of Hope,Land of Hope,130
102475652877650,Håkonsson Advokater,These ads ran without a disclaimer,124
243765466796,Vejle Kommune,Vejle Kommune,122
167891603415958,Lederne,Lederne,122
748887235210811,Obton Forvaltning A/S,Obton A/S,121
141343589252160,Dansk Industri - DI,Dansk Industri,119
146458868730806,ROSE - Dansk kylling siden 1952,HKScan Denmark A/S,≤100
657491824390744,Spring Copenhagen,Spring Copenhagen,≤100
246977185497434,Plastic Change,Plastic Change,≤100
529124290474705,Nikolaj Villumsen,Enhedslisten,≤100
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,≤100
390925417751473,Erling Bonnesen,Erling Bonnesen,≤100
287306323369,Børnecancerfonden,Børnecancerfonden,≤100
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",≤100
1704424023182897,Politiken Historie,Politiken Historie,≤100
181330585392156,Skattestyrelsen,Skattestyrelsen,≤100
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,≤100
130388840342741,Danske Bank,Danske Bank,≤100
314676938743,DM din akademiske fagforening,DM,≤100
145392175531068,JydskeVestkysten,JydskeVestkysten,≤100
1405355586351630,Carlsbergfondet,Carlsbergfondet,≤100
264009771074617,Niels Fuglsang,Niels Fuglsang,≤100
107898832590939,European Commission,European Commission,≤100
