Page ID,Page name,Disclaimer,Amount spent (BAM)
102667249419191,GenChange,Arijana Trle,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
104656362112871,Recessed.space,These ads ran without a disclaimer,≤100
104992122558073,Valter.Portal,Valter.Portal,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
1454304308161318,"Koalicija ""Pod lupom""","Koalicija ""Pod lupom""",≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
197596636939679,tacno.net,Tacno.net,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,≤100
109652028193268,Revizije info,Revizije info,≤100
