Page ID,Page name,Disclaimer,Amount spent (BAM)
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
104992122558073,Valter.Portal,Valter.Portal,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Славенко Ристић - лидер Републичке странке Српске,≤100
109652028193268,Revizije info,Revizije info,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
120481645203741,Dragan Bursać,Dragan Bursać,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
1454304308161318,"Koalicija ""Pod lupom""","Koalicija ""Pod lupom""",≤100
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,≤100
