Page ID,Page name,Disclaimer,Amount spent (JPY)
265075920177069,陸上自衛隊 Japan Ground Self-Defense Force,陸上自衛隊 Japan Ground Self-Defense Force,401
103307385856246,美容Lab,These ads ran without a disclaimer,372
108651618963748,Fyyoiu.xyz-3,These ads ran without a disclaimer,235
1904070096535109,スマート選挙,株式会社センキョ,232
1066698066689496,ミイダス,These ads ran without a disclaimer,206
140618006024953,東日本医療専門学校,These ads ran without a disclaimer,167
108136530968730,おねがい社長！,These ads ran without a disclaimer,142
110284292010391,オリックス・クレジット株式会社,These ads ran without a disclaimer,106
106067878679145,coharu_style,These ads ran without a disclaimer,103
413847335481057,起業の学校 Willfu 社会人講座,These ads ran without a disclaimer,≤100
217940438230517,BOOKWALKER,These ads ran without a disclaimer,≤100
110188688555336,Snsを頑張らない集客法,These ads ran without a disclaimer,≤100
1621936421357167,藤崎町観光情報サイト ふじさんぽ,株式会社コンシス,≤100
128390793841971,Robot Home,These ads ran without a disclaimer,≤100
301475626888702,サンスター オンラインショップ,These ads ran without a disclaimer,≤100
208661552479830,日本財団,日本財団,≤100
100883894693235,Cleverin_Cleveand,These ads ran without a disclaimer,≤100
298060150283457,大分県日出町,大分県日出町,≤100
104533215755145,ZOE_Japan,ZOE Japan,≤100
2328492084042595,プロ家庭教師の総合進学セミナー,These ads ran without a disclaimer,≤100
501174560264857,VENTURE FOR JAPAN,These ads ran without a disclaimer,≤100
1812425055659979,介護ワーカー,These ads ran without a disclaimer,≤100
173291492700083,Ｚ会,These ads ran without a disclaimer,≤100
102891618059843,ケイミュー株式会社,These ads ran without a disclaimer,≤100
100400541822203,奈良市議会議員 太田晃司（おおた こうじ）,奈良市議会議員 太田晃司（おおた こうじ）,≤100
101289366621166,大和ハウスグループ,These ads ran without a disclaimer,≤100
475681929154100,国連UNHCR協会,国連UNHCR協会,≤100
676655469036670,松下政経塾,松下政経塾,≤100
100199881840737,Minghui Japan（ミンフイ　ジャパン）ー明慧日本,明慧日本,≤100
196303913732193,タマホーム株式会社,These ads ran without a disclaimer,≤100
252643172054380,បណ្ឌិត លី រិទ្ធ -Dr. LY Rith,These ads ran without a disclaimer,≤100
107198115805194,葬儀愛サービス株式会社,These ads ran without a disclaimer,≤100
218509495666302,日経新聞,These ads ran without a disclaimer,≤100
