Page ID,Page name,Disclaimer,Amount spent (CZK)
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,1964
214827221987263,Andrej Babiš,ANO,939
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,836
102389958091735,Generál Pavel,Petr Pavel,500
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,425
157741540937883,CARE Česká republika,CARE Česká republika,335
102845669064210,Danuše Nerudová,Danuše Nerudová,286
206273352289,ADRA CZ,"ADRA, o.p.s.",260
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",216
102403989060169,Pomáháme Ukrajině,DFMG,192
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",160
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,158
384187235387895,Alena Schillerová,ANO,120
1469427909957890,Reportér magazín,Reportér magazín,102
178362315106,European Parliament,European Parliament,≤100
112514130247111,Markéta Monsportová - Zastupitelka Karlovarského kraje,Česká pirátská strana,≤100
287724754662359,HateFree Culture,HateFree Culture,≤100
106008800769282,KHNP,Bistro Social s.r.o.,≤100
1432139953751418,Josef Středula,Josef Středula,≤100
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,≤100
236211929833146,Tomáš Zima,Společnost ZFP s.r.o.,≤100
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",≤100
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,≤100
107898832590939,European Commission,European Commission,≤100
605137899592157,STIHL,"Andreas STIHL, spol. s r. o.",≤100
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,≤100
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,≤100
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,≤100
484488185462817,mujRozhlas,Český rozhlas,≤100
189520154425807,Ministerstvo životního prostředí,Ministerstvo životního prostředí,≤100
120461304659141,O2 CZ,O2 Czech republic,≤100
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,≤100
453792238396240,VOGUE CS,Vogue CS,≤100
596070354093578,UkrConcert.cz - концерти українських артистів в Чехії,These ads ran without a disclaimer,≤100
115589329891193,Konference Budoucnost evropského zemědělství /2022,European Parliament,≤100
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu v České republice,≤100
206045673805,Deník.cz,VLTAVA LABE MEDIA a.s.,≤100
203656526961481,Klub Pátečníků - patecnici.cz,Klub Pátečníků s.r.o.,≤100
356451014434612,Marian Jurečka,KDU-ČSL,≤100
202451429883,Novinky.cz,Borgis a. s.,≤100
52479821102,Týdeník Respekt,Týdeník Respekt,≤100
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,≤100
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",≤100
711658465662315,XTV,XTV,≤100
109882498582200,Osvoboďme Česko,Budovy21 s.r.o.,≤100
1017575764980188,Petr Kulhánek,Karlovarská občanská alternativa,≤100
1934837773438430,Pavel Fischer,Pavel Fischer,≤100
634087193362282,Společnost pro obranu svobody projevu,Společnost pro obranu svobody projevu,≤100
251656685576,KDU-ČSL,KDU-ČSL,≤100
100713699374019,Richard Brabec,Richard Brabec,≤100
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,≤100
139379141293,Paměť národa,"Post Bellum, z.ú.",≤100
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,≤100
424114981002397,Český rozhlas Plus,Český rozhlas,≤100
693725074166331,Naše zdravotnictví,Naše zdravotnictví,≤100
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,≤100
194467420912201,Já volím děti,Já volím děti,≤100
171936526824,EKONOM.cz,"Economia, a.s.",≤100
799083753454179,Voxpot,Voxpot z. ú.,≤100
578342809023884,Jsme fér,Prague Pride,≤100
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",≤100
