Page ID,Page name,Disclaimer,Amount spent (PLN)
176114889652,Kancelaria Premiera,Kancelaria Premiera,364
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,107
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,≤100
339855706171439,Dobra Fabryka,Dobra Fabryka,≤100
174848285894374,Nie Wstydzę Się Jezusa,Nie Wstydzę Się Jezusa,≤100
106645538927529,Da się.,Fundacja Archipelag Inicjatyw,≤100
834495839904474,Michał Cieślak,Leszek Mikołaj Zajęcki,≤100
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,≤100
159205967423152,Stowarzyszenie Sursum Corda /w górę serca/,H4People,≤100
199877710116314,Patryk Jaki,GRUPA EKR - Patryk Jaki MEP,≤100
147284671976535,Jak wygrać wybory? Praktycznie o kampaniach wyborczych,Jacek Babiel,≤100
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,≤100
57544755889,Amnesty International Polska,Amnesty International Polska,≤100
102466034698538,Ośrodek Monitorowania Chrystianofobii Fidei Defensor,Biuro Fidei Defensor,≤100
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,≤100
228168274881,wysokieobcasy,wysokieobcasy,≤100
2211502082434705,Marcin Wróblewski,Damian Kasprzycki,≤100
1683534065241470,OKO.press,OKO.press,≤100
106931275538168,Fundacja Polemika,Damian Kasprzycki,≤100
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,≤100
185265414715,Onet,Onet,≤100
107758219306090,OLX Polska,OLX Polska,≤100
513969188677442,Compassion Polska,Compassion Polska,≤100
469702339755768,Paweł Tanajno Polska Liberalna,Iam4u.pl,≤100
160181130796814,Fundacja ADRA Polska - ADRA Poland,Fundacja ADRA Polska,≤100
273827962690526,Otwarte Klatki,Otwarte Klatki,≤100
178362315106,European Parliament,European Parliament,≤100
102146208361697,Myśl Suwerenna,Instytut Suwerennej,≤100
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,≤100
109218848183780,Marek Woźniak,UMWW,≤100
111778487054045,TOGETAIR,Kamil Magot,≤100
101469002338303,Idea 3W,These ads ran without a disclaimer,≤100
1477251852486946,Kosma Złotowski,Grupa Europejskich Konserwatystów i Reformatorów,≤100
106118495543487,Fundacja im. Janiny Lewandowskiej,Fundacja im. Janiny Lewandowskiej,≤100
1695616287382430,Schneider Electric,Schneider Electric Polska,≤100
105071188886373,SOS Rozwód,Fundacja Instytut Wiedzy o Rodzinie i Społeczeństwie ze środków Pełnomocnika Rządu ds. Demograficznych,≤100
50063176484,TVN24,TVN,≤100
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,≤100
1607487699534202,Krzysztof Hetman,Krzysztof Hetman,≤100
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,≤100
130220166122,Kupuj odpowiedzialnie,Kupuj odpowiedzialnie,≤100
1608898765820336,Vogue Polska,These ads ran without a disclaimer,≤100
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,≤100
163488137165461,E.ON Polska,E.ON Polska,≤100
108567461681538,"Polska Katolicka, nie Laicka",Fundacja Instytut Edukacji Społecznej i Religijnej im. Ks. Piotra Skargi,≤100
129626970836,inFakt,inFakt,≤100
311278685609822,Fundacja Centaurus,Fundacja Centaurus,≤100
173086948664,Infor.pl,Infor.pl,≤100
100120136068412,Reo.pl - platforma handlu energią z OZE,Reo.pl Sp. z o.o.,≤100
286672948180163,Tomasz Trela,Poseł Tomasz Trela,≤100
157255317751718,Kancelaria Mentzen,Kancelaria Mentzen,≤100
199877710116314,Patryk Jaki,Patryk Jaki,≤100
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,≤100
203627442993022,Portal Oświatowy,Wiedza i Praktyka,≤100
698495676960463,Błażej Poboży,Błażej Poboży,≤100
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,≤100
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,≤100
312204349288060,Mariusz Gosek,Mariusz Gosek,≤100
199446073725474,BohaterON,BohaterON,≤100
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,≤100
662892093824152,Fundacja Małych Stópek,Fundacja Małych Stópek,≤100
255100403945,Polityka,Polityka,≤100
137877409609952,Lewica,Nowa Lewica,≤100
1288071694685307,Polskie Forum Rodziców,Polskie Forum Rodziców ze środków Pełnomocnika Rządu ds. Demograficznych,≤100
1752318511650368,Akamai Poland,More Bananas,≤100
489490981808216,Leszek Zajęcki-Sołtys Sołectwa Oblęgorek,Leszek Mikołaj Zajęcki,≤100
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),≤100
371981706755861,Kierunek na EKO,OS3 Sp. z o. o.,≤100
170854966281100,Wspólnota Burego Misia,Fundacja Wspólnoty Burego Misia im. Bogdana Jańskiego,≤100
514735281965536,Demagog,Demagog,≤100
833450986688312,Zbigniew Hoffmann - Minister i Poseł z Wielkopolski,Zbigniew Hoffmann,≤100
330644215221,Bankier.pl,Bankier.pl,≤100
814991668621838,Norbert Kaczmarczyk,Norbert Kaczmarczyk,≤100
701219240036213,Instytut Rozwoju Sztuki,Helena Siadlak,≤100
102792325966064,Kopalnia kitu,Kopalnia Kitu (DoubleD Marketing),≤100
