Page ID,Page name,Disclaimer,Amount spent (CAD)
104811292976689,SOS violence conjugale,SOS violence conjugale,2016
115835521825983,UNHCR Canada,UNHCR Canada,926
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Dairy Farmers of Canada,914
53321777320,Coeur + AVC,Coeur + AVC,679
130286616989573,CECI - Centre d'étude et de coopération internationale,CECI - Centre d'étude et de coopération internationale,592
177681485609462,Radio-Canada,Radio-Canada,539
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,516
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,465
163336718421,PSAC - AFPC,PSAC - AFPC,357
19750184960,Greenpeace Canada,Greenpeace Canada,279
152467601467262,BMO Groupe financier,BMO Financial Group,234
115184254813951,Défi GEStes,Emilie Gallant,204
11392874217,Québec solidaire,Québec solidaire,201
109045051805492,Made The Canadian Way,Canadian Energy Centre,196
6319213302,Heart & Stroke,Heart & Stroke,190
104496778538420,La Science d'Abord,Science Up First,181
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,178
106917558391358,Alliance Nouvelles voies,Pathways Alliance,170
248281845216826,Bell Canada (Français),Bell Canada,168
268400032839,Croix-Rouge canadienne,Croix-Rouge canadienne,163
1590219921201770,Élections Canada,Élections Canada,160
256967407720183,LEO,Léger,151
177741812241442,SCFP-Québec,le SCFP,151
261752512263,Canadian Red Cross,Canadian Red Cross,142
211536155525838,ICI Estrie,ICI Estrie,136
233017897569896,Emplois en régions,Emplois en régions,134
1097840090260804,National Police Federation,National Police Federation,133
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,131
168617319831578,Nature Canada,Nature Canada,130
214866875236330,PROMIS,Promis Immigration,130
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,119
1533253713597302,Elisabeth Léger,Elisabeth Leger,104
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,≤100
633812813408377,Elections Canada,Elections Canada,≤100
430090793749538,Ville de Drummondville,Ville de Drummondville,≤100
168973503131279,Mission Old Brewery,Mission Old Brewery,≤100
278696235497752,Association québécoise des retraité(e)s des secteurs public et parapublic,Association Québécoise des retraité(e)s des secteurs public et parapublic,≤100
901776976544599,RBC Wealth Management,RBC Wealth Management,≤100
113297740077607,Canadian Energy Centre,Canadian Energy Centre,≤100
107385241806,Plan International Canada,Plan International Canada,≤100
24235835555,Kids Help Phone,Kids Help Phone,≤100
100401029468656,Christopher Baenninger,"Justin Beauregard, agent officiel",≤100
202220023130891,Bell Canada,Bell Canada,≤100
126012407432250,Musée canadien pour les droits de la personne,Musée canadien pour les droits de la personne,≤100
104308078247296,Science Up First,Science Up First,≤100
117109432079,CAMH Foundation,CAMH Foundation,≤100
209259539511350,Sors de ta bulle,Sors de ta bulle,≤100
1459978440906128,Office des personnes handicapées du Québec,Office des personnes handicapées du Québec,≤100
156235841087715,FTQ,FTQ,≤100
25128859552,The Canadian Encyclopedia,Historica Canada,≤100
187805263715,RÉZO,RÉZO,≤100
722859698048730,Manitoba School Boards Association,the Manitoba School Boards Association,≤100
143249880633,World Animal Protection Canada,World Animal Protection Canada,≤100
114849617772737,Care2 Canada,Press Pause Collective,≤100
394745970602999,The Council of Canadians,The Council of Canadians,≤100
103145009203143,The Next Climate Fellowship,The Next Climate Fellowship,≤100
285539671502696,Juripop,JURIPOP F.A.N. CLINIQUE JURIDIQUE JURIPOP,≤100
106365669977985,Unpointcinq,Unpointcinq,≤100
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,≤100
1731335487101721,Visages régionaux,Visages régionaux,≤100
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,≤100
117926081552324,Équiterre,Équiterre,≤100
336963316348550,Ucore Rare Metals Inc.,Ucore Rare Metals Inc.,≤100
188385537886041,ICI Québec,Radio-Canada,≤100
167559993283868,Nature Québec,Nature Québec,≤100
194198127284117,Genium360,Genium360,≤100
983225938428603,Observatoire des tout-petits,Observatoire des tout-petits,≤100
699059076842903,Canadian Race Relations Fdn / Fondation canadienne des relations raciales,Canadian Race Relations Foundation,≤100
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,≤100
322687774411726,CSD Construction,CSD Construction,≤100
103947395932025,mstrishaaa,Trish Tsui Ting Ting Yeung,≤100
148610955179339,L'Orienthèque,L'Orienthèque,≤100
367461053332566,Community-Based Research Centre - CBRC,Community-Based Research Centre,≤100
158328980872448,"Le Phare, Enfants et Familles","Le Phare, Enfants et Familles",≤100
510183342342621,Bell MTS,Lavanya Rajaian,≤100
250592478295316,C2C Journal,C2C Journal,≤100
1431603483720909,Fondation de l'Institut universitaire en santé mentale de Montréal,Fondation de l'Institut Universitaire de Santé Mentale à Montréal,≤100
183409495103051,ESPACE Côte-Nord,ESPACE Côte-Nord,≤100
291405517874221,CDC - Beauharnois-Salaberry,Corporation de développement communautaire Beauharnois-Salaberry,≤100
194198127284117,Genium360,These ads ran without a disclaimer,≤100
163974530411362,Jean Coutu M. D'Amours & M. Leclerc,PJC 315,≤100
1612384305678522,ACEF de Laval,ACEF de Laval,≤100
151415004877917,Institut économique de Montréal,Institut économique de Montréal,≤100
145655439443421,"Jean Coutu 515 Boul. Lacombe, Repentigny - secteur Le Gardeur",ECOLEAD Marketing,≤100
107424984239,Société pour la nature et les parcs - SNAP Québec,Société pour la nature et les parcs - SNAP Québec,≤100
35715544220,Stand.earth,Stand.earth,≤100
179642688739082,Amnistie internationale Canada Francophone,Amnistie Internationale Canada Francophone,≤100
100999094747422,Land Needs Guardians,Land Needs Guardians,≤100
2424592771126530,Jean Coutu La Plaine,ECOLEAD Marketing,≤100
495127200680775,Fondation du cœur Beauce-Etchemin,Fondation du cœur Beauce-Etchemin,≤100
190502667652613,Canada’s NDP / Le NPD du Canada,Canada’s NDP / Le NPD du Canada,≤100
368356109922780,Accès transports viables,Accès transports viables,≤100
539849506029629,Fondation Marie-Vincent,Fondation Marie-Vincent,≤100
26394435211,Canadian Cancer Society,Canadian Cancer Society,≤100
447353398675313,Uniprix M. Beaucage,Pharmacie Martin Beaucage inc.,≤100
699568913754080,Signé Laval,Signé Laval,≤100
214839395204315,Centre canadien de protection de l'enfance,Canadian Centre for Child Protection,≤100
568938803293644,True North,True North,≤100
184906186150,The Toronto Star,The Toronto Star,≤100
1750529691887719,Portail linguistique du Canada,These ads ran without a disclaimer,≤100
411736598898604,Propane Levac Propane Inc.,These ads ran without a disclaimer,≤100
27234020592,UNICEF Canada,UNICEF Canada,≤100
121681904511500,CMHA National / ACSM National,Canadian Mental Health Association,≤100
362051477864388,Bureau d'audiences publiques sur l'environnement,Bureau d'audiences publiques sur l'environnement,≤100
111008794934816,Valérie Schmaltz - députée de Vimont à l'Assemblée Nationale,JOSEPH EL-HAJJ,≤100
1750529691887719,Portail linguistique du Canada,Bureau de la traduction,≤100
234081660024137,AREQ-CSQ,AREQ-CSQ,≤100
1589839557920915,National Disability Credit Alliance,National Disability Credit Alliance,≤100
110193308216095,Canadian Council for Youth Prosperity,The Canadian Council for Youth Prosperity,≤100
101383048024137,Jean Coutu M. D'Amours,PJC 163,≤100
111983398876007,The Independent,The Independent,≤100
150435931672156,Élections Québec,Élections Québec,≤100
101254104704365,ProEcolo,ProÉcolo,≤100
115406242382746,Brunet Wakefield,ECOLEAD Marketing,≤100
211531832738216,Brunet Plus Sainte-Julienne,"Brunet A. Trotier-Rivest, L. Archambault, pharm. prop. Affiliés",≤100
121099651233937,RAVEN,RAVEN Trust,≤100
109837578355207,VPL Verre et Aluminium,VPL,≤100
169042736456594,All Out,ConnectAd,≤100
123279994379030,Participaction,ParticipACTION,≤100
281999881613,World Vision Canada,World Vision Canada,≤100
168889579973,Fondation David Suzuki,Fondation David Suzuki,≤100
144941987247,UNICEF Canada FR,UNICEF Canada,≤100
121222984568561,Amnesty International Canada,Amnesty International Canada,≤100
109859832010943,Victor Pelletier - Coalition Avenir Québec,Victor Pelletier - Coalition Avenir Québec,≤100
104321259649840,CATIE,CATIE,≤100
100798439408577,"Céline Haytayan, députée de Laval-des-Rapides à l'Assemblée nationale",JOSEPH EL-HAJJ,≤100
264035282685,"Commission des normes, de l'équité, de la santé et de la sécurité du travail","Commission des normes, de l’équité, de la santé et la sécurité du travail",≤100
1367743043288146,MIS Maison de l'innovation sociale,Maison de l'innovation sociale,≤100
103058656428479,Le Nouvelliste,Le Nouvelliste,≤100
105020357850802,Pivot,Pivot,≤100
206962006904247,Le Grand Marché de Québec,Le Grand Marché de Québec,≤100
453989538009903,Pregnancy Care Canada,Pregnancy Care Canada,≤100
139019864276,Oxfam Canada,Oxfam Canada,≤100
101655285390205,Roulons électrique,Équiterre,≤100
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,≤100
1670059186635128,Brunet Ste-Adèle,Brunet Ste-Adèle,≤100
105274381361518,The Resolve,The Resolve,≤100
244153672439369,Uniprix Michael Liounis,ECOLEAD Marketing,≤100
572892516092329,"Yvan Baker, MP",Yvan Baker,≤100
165208987348410,Jean Coutu Dollard-des-Ormeaux,ECOLEAD Marketing,≤100
109110221458427,Nathalie Sinclair Desgagné,Agent officiel de Nathalie Sinclair-Desgagné,≤100
1506858022899841,Uniprix Sylvain H.Gélinas,Uniprix Sylvain H. Gélinas - Pharmacie affiliée,≤100
105091807647339,Jean Coutu Île-Perrot,ECOLEAD Marketing,≤100
232894981968,Nature Conservancy of Canada / Conservation de la nature Canada,Nature Conservancy of Canada / Conservation de la nature Canada,≤100
1921285291497710,"Christian Dubé, député de La Prairie à l'Assemblée nationale",Claudine Binette,≤100
112290410248573,IGA Extra Famille St-Jacques,ECOLEAD Marketing,≤100
1327997853986388,Brunet Plus Aylmer,Brunet Aylmer,≤100
471020985450,ICI Saguenay–Lac-Saint-Jean,Radio-Canada,≤100
106764462731658,Honest Reporting Canada,Honest Reporting Canada,≤100
1451940021709442,Uniprix Michael Guay,ÉCOLEAD,≤100
205618326248365,Trajectoire Québec,Trajectoire Québec,≤100
318524270696,Carrefour International,Carrefour International,≤100
137731532943816,Comité populaire Saint-Jean-Baptiste,Marie Eve Duchesne,≤100
885616054911920,PESCA Environnement,ÉCOLEAD,≤100
680726711994774,Uniprix Jean-Marc Bélanger,Uniprix Jean-Marc Bélanger - Pharmacie affiliée,≤100
149529379528,ICI Colombie-Britannique,Radio-Canada,≤100
527217270712141,Jean Coutu Fort-Saint-Louis,Jean Coutu Geneviève Labonté,≤100
152759126824,Enbridge,Enbridge,≤100
134455149912301,Seva Canada,Seva Canada,≤100
1408216169439893,Uniprix Julie Deslongchamps,ÉCOLEAD,≤100
1671097993122619,Children Believe,Children Believe,≤100
868589909847623,Action Canada for Sexual Health and Rights,Action Canada for Sexual Health and Rights,≤100
321351607970406,The Narwhal,The Narwhal,≤100
174662149255918,Vivre en Ville,Vivre en Ville,≤100
217668111650304,Arbre-Évolution,Simon Cote,≤100
102136459052072,ICI Grand Nord,Radio-Canada,≤100
201940626493639,Jour de la Terre Canada,Jour de la Terre Canada,≤100
172923782752077,Tree Canada / Arbres Canada,Tree Canada / Arbres Canada,≤100
107757665532655,The Freedom To Speak,The Task Force on Linguistic Policy,≤100
1096674580388257,Martine Savaria - Coaching parental & personnel,Martine Savaria - Coaching parental & personnel,≤100
198195040707,Projet Montréal,Projet Montréal,≤100
732271663499527,Matthew Shoemaker,Matthew Shoemaker,≤100
198903657214,New Israel Fund of Canada,NIFC,≤100
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,≤100
316302965122489,Clean Energy Canada,Clean Energy Canada,≤100
627351993959394,Éditions Robert Laffont Canada,Éditions Robert Laffont Ltée,≤100
116562461821842,Mario Beaulieu,Mario Beaulieu,≤100
405377872902754,Canada Action,Canada Action,≤100
