Page ID,Page name,Disclaimer,Amount spent (CAD)
154450024654,BC Teachers' Federation (BCTF),BC Teachers' Federation,897
127240117332122,Volvo Car Canada,Volvo Car Canada,392
186266941387011,BMO Financial Group,BMO Financial Group,336
117109432079,CAMH Foundation,CAMH Foundation,326
203485052997041,Hospital Employees' Union,Hospital Employees' Union,321
104386908631938,Pathways Alliance,Pathways Alliance,287
2112106495731697,Wild First,Canadian Coastal Research Society,250
405377872902754,Canada Action,Canada Action,247
48799305725,AIDS Vancouver,AIDS Vancouver,203
108635379686,CNIB,CNIB,201
213671857639,BCGEU,BC General Employees' Union,200
602190229793328,UFCW 1518,UFCW 1518,196
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,171
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,168
195608229977,BC NDP,BC NDP,155
104661675895506,Mayday Movement,MayDay Movement,147
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,138
14742445214,BC Green Party,BC Green Party,138
261752512263,Canadian Red Cross,Canadian Red Cross,119
453724058039992,viaSport British Columbia,viaSport British Columbia,106
633812813408377,Elections Canada,Elections Canada,106
27234020592,UNICEF Canada,UNICEF Canada,≤100
468862456473344,Together We Can - Addiction Recovery & Education Society,Together We Can - Addiction Recovery & Education Society,≤100
115835521825983,UNHCR Canada,UNHCR Canada,≤100
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,≤100
256967407720183,LEO,Léger,≤100
35715544220,Stand.earth,Stand.earth,≤100
345800815486259,SEIU Local 2,SEIU Local 2,≤100
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,≤100
373857869367252,Moose Hide Campaign,Moose Hide Campaign,≤100
104197194293273,Patrick Weiler,Office of Patrick Weiler MP,≤100
376006035816016,Storyworth,These ads ran without a disclaimer,≤100
901776976544599,RBC Wealth Management,RBC Wealth Management,≤100
15388201565,Vancouver Public Library,Vancouver Public Library,≤100
281999881613,World Vision Canada,World Vision Canada,≤100
232894981968,Nature Conservancy of Canada / Conservation de la nature Canada,Nature Conservancy of Canada / Conservation de la nature Canada,≤100
259187344111223,Coastal First Nations,Coastal First Nations,≤100
132996628184,City of Vancouver - Local Government,City of Vancouver - Local Government,≤100
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,≤100
114849617772737,Care2 Canada,Press Pause Collective,≤100
104152709183684,Convenience Retailers 4 SC,Convenience Retailers Alliance,≤100
202220023130891,Bell Canada,Bell Canada,≤100
235872037238940,She Is Indigenous,Les Femmes Michif Otipemisiwak / Women of the Métis Nation,≤100
106231507615280,Delivering Community Power - Vers des collectivités durables,Canadian Union of Postal Workers,≤100
19750184960,Greenpeace Canada,Greenpeace Canada,≤100
1097840090260804,National Police Federation,National Police Federation,≤100
136350861428,Sierra Club BC,Sierra Club BC,≤100
23543314803,CUPE SCFP,CUPE SCFP,≤100
107385241806,Plan International Canada,Plan International Canada,≤100
213972982110718,Terry Beech,"Terry Beech, MP for Burnaby North Seymour",≤100
33730130515,Metro Vancouver,Metro Vancouver,≤100
630616020375073,"Mark Strahl, MP","Mark Strahl, MP",≤100
105104278888740,ycaaward,These ads ran without a disclaimer,≤100
166935516700878,Last Door Recovery Society,Giuseppi Ganci,≤100
106360778489053,Fuelling Canada,Canadian Gas Association,≤100
590117937780756,Oil Sands Action,Canada Action,≤100
714595698939267,TPC - Therapeutic Psilocybin for Canadians,Therapsil,≤100
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF) Canada,≤100
107588675613544,Chilltv,Berris Karden,≤100
117385037992241,Tanya Cosgrave,Tanya Cosgrave,≤100
753889838292279,BC Assembly of First Nations,BC Assembly of First Nations,≤100
107500791481568,Kevin Falcon,BC Liberal Party,≤100
291170657748377,Vancouver & District Labour Council,Vancouver and District Labour Council,≤100
149637145096756,Conservative Party of BC,Conservative Party of British Columbia,≤100
123235041462,The Fraser Institute,Fraser Institute,≤100
658318450979357,Globe Content Studio,Globe Content Studio,≤100
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,≤100
121222984568561,Amnesty International Canada,Amnesty International Canada,≤100
101898551911387,The Hub Canada,Hub Canada Media,≤100
100999094747422,Land Needs Guardians,Land Needs Guardians,≤100
298497587658236,SFU's Vancity Office of Community Engagement,SFU's Vancity Office of Community Engagement,≤100
103350612362345,Strong Coast,Strong Coast,≤100
106764462731658,Honest Reporting Canada,Honest Reporting Canada,≤100
180862678644381,Ontario NDP,Ontario NDP,≤100
1522162571382952,Oceana Canada,Oceana Canada,≤100
116190118504646,Wisdom2Action,Faelynn Eris Johnstone,≤100
282331419131165,Community Action Team - Port Alberni,Port Alberni Community Action Team,≤100
