Page ID,Page name,Disclaimer,Amount spent (BAM)
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,121
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
197596636939679,tacno.net,Tacno.net,≤100
109652028193268,Revizije info,Revizije info,≤100
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,≤100
102667249419191,GenChange,GenChange,≤100
104992122558073,Valter.Portal,Valter.Portal,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
140081909339594,Topcon Positioning Systems,These ads ran without a disclaimer,≤100
1043366545682573,Стефан Гаврић - Stefan Gavrić,Стефан Гаврић - Stefan Gavrić,≤100
2430163100537312,Spin Info,Spin Media,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100
1454304308161318,"Koalicija ""Pod lupom""","Koalicija ""Pod lupom""",≤100
147315858633088,Istinomjer,Istinomjer,≤100
120481645203741,Dragan Bursać,Dragan Bursać,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa (CCI),≤100
110760128594320,Muhamed Hasanović,Muhamed Hasanović,≤100
105412905161989,Огњен Бодирога,Огњен Бодирога,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
109839045383139,За правду и ред - Небојша Вукановић - Лакташи,За правду и ред - Небојша Вукановић - Лакташи,≤100
100733242113653,Porodice 3 plus,Porodice 3 plus,≤100
585772551567679,Perspektiva,Perspektiva,≤100
162926690478548,Oslobodjenje,Oslobodjenje,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100
968019463291751,Arnel Isak,DEV DOT,≤100
365685333954209,Eastwest European Institute,These ads ran without a disclaimer,≤100
1473660889517303,Irfan Čengić,Irfan Čengić,≤100
257210261130698,Hrvatska republikanska stranka,Hrvatska republikanska stranka,≤100
326185650853734,Zukan Helez,OO SDP BiH Bugojno,≤100
102500518635499,ENTR en,These ads ran without a disclaimer,≤100
106099145362821,Goražde bez pesticida,Goražde bez pesticida,≤100
1919192811663245,My Voice For The Poor,These ads ran without a disclaimer,≤100
417853371621843,Mirnes Ajanović,Mirnes Ajanović,≤100
104474278112457,Thiago Albuquerque,These ads ran without a disclaimer,≤100
106736149108405,Nadezhda Artemewa,These ads ran without a disclaimer,≤100
