Page ID,Page name,Disclaimer,Amount spent (ZAR)
858175014372321,VF Plus - Limpopo,Vryheidsfront Plus / Freedom Front Plus,187
6011868110,Democratic Alliance,Democratic Alliance,136
1742410059361710,AwakeMzansi,Awake Mzansi,≤100
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,≤100
325113820874966,OUTA - Organisation Undoing Tax Abuse,Organisation Undoing Tax Abuse (OUTA),≤100
195909420099,Solidariteit,Solidariteit,≤100
136956534616,Times LIVE,TimesLIVE,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
478479492268974,Sunday Times ZA,Sunday Times,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100
128050063917913,ISF (International School Sport Federation),These ads ran without a disclaimer,≤100
2145594122138312,Action Society,Action Society,≤100
285329935218383,Dr. Zamani Saul Page,These ads ran without a disclaimer,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
109797290826876,Ian Cameron,Action Society,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
229641360457150,Good Governance Africa,Good Governance Africa,≤100
614441158766955,Vote Dr Sipho P. Malapane And The Independent Campaign 2024,Sipho Pienaar Malapane,≤100
530927007388252,Vrye Weekblad,Vrye Weekblad (Nuwe Vrye Weekblad Mediagroep),≤100
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100
103850622715863,tendo12,These ads ran without a disclaimer,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
1442286572460668,Inside Education,Inside Education,≤100
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100
115864538089777,Dear SA - Have Your Say,These ads ran without a disclaimer,≤100
128959773443799,ហរិកម្ពុជេន្រ្ទ Kambuja History & Culture to the World,These ads ran without a disclaimer,≤100
112077024899370,Comics Stadium,These ads ran without a disclaimer,≤100
