Page ID,Page name,Disclaimer,Amount spent (BRL)
151189004972368,Panasonic Brasil,Panasonic Brasil,165
175804982467404,Safernet Brasil,Safernet Brasil pago com créditos de anúncio do Facebook,144
104625758942119,Siga Antenado,Siga Antenado,128
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,≤100
165175370206522,Citi Brasil,Citi Brasil,≤100
198849783539777,Buscofem,Buscofem,≤100
159103797542,Greenpeace Brasil,Greenpeace Brasil,≤100
358687161234,Proteção Animal Mundial,Sociedade Mundial de Proteção Animal - WSPA BRASIL,≤100
301774903545521,Brasil Paralelo,Brasil Paralelo,≤100
333720355130,Petrobras,Petrobras,≤100
465235726843103,Ambev,Ambev,≤100
303981736949468,Jingle Vinheta,Paulo Magalhaes,≤100
171342419582453,"CNC - Confederação Nacional do Comércio de Bens, Serviços e Turismo","CONFEDERACAO NACIONAL DO COMERCIO DE BENS, SERVICOS E TURISMO - CNC",≤100
330379553673497,Oxfam Brasil,Oxfam Brasil,≤100
224021551012451,Gerando Falcões,Gerando Falcões,≤100
115630074826485,Auxilio Brasil,These ads ran without a disclaimer,≤100
102046893217762,Escola de Negócios e Seguros,Escola de Negócios e Seguros,≤100
258088921369,TOTVS,TOTVS,≤100
541089776080092,Sanofi Brasil,Thaina Souza De Campos,≤100
196452727048562,Governo do Rio Grande do Sul,SECRETARIA DE COMUNICAÇÃO,≤100
101189854802059,Revista Oeste,Revista Oeste,≤100
2031750160222530,Além da Superfície,These ads ran without a disclaimer,≤100
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,≤100
224777780881144,Visão Mundial,Visão Mundial,≤100
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,≤100
110225312350543,Nova Escola,Associação Nova Escola,≤100
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,≤100
394949217200772,Secretaria de Estado da Saúde de Santa Catarina,Secretaria de Estado da Saúde de Santa Catarina,≤100
393466617381710,Vetor Brasil,Vetor Brasil,≤100
2323904661180742,All Out Brasil,All Out,≤100
1703010579956133,Eleições 2024 - Cursos Online,Curso Eleitoral,≤100
1767220630177139,Animal Equality Brasil,Animal Equality Brasil,≤100
102765671561443,Seu Crédito Aprovado,These ads ran without a disclaimer,≤100
263199020531986,JOTA,JOTA,≤100
7970426802,WWF-Brasil,WWF-Brasil,≤100
112208748024338,Agência Rockn - Marketing de Resultados,Carlos Bomfim,≤100
102383864835415,Minha Pequena Feminista,These ads ran without a disclaimer,≤100
105821366170914,PT - Partido dos Trabalhadores,Partido dos Trabalhadores,≤100
104161123005913,Fundação Tide Setubal,Fundação Tide Azevedo Setubal,≤100
111186368956008,Academia Brasileira de Direito Constitucional,ABDConst,≤100
108015435927747,FAS - Fundação Amazônia Sustentável,Fundação Amazonia Sustentável,≤100
1124473760957316,FS Fueling Sustainability,FS Fueling Sustainability,≤100
106511987371835,Base.Lab,BaseLab Consultoria Política,≤100
107809564197704,Cetur - Conselho Empresarial de Turismo da CNC,"CONFEDERACAO NACIONAL DO COMERCIO DE BENS, SERVICOS E TURISMO - CNC",≤100
1498647100170828,Prefeitos do Futuro,Prefeitos do Futuro Cursos e Treinamentos LTDA,≤100
100217684890687,Guia da OAB,These ads ran without a disclaimer,≤100
998620913587874,TC,TC TRADERS CLUB SA,≤100
102856342511936,ICL Notícias,Instituto Conhecimento Liberta,≤100
114545680471703,Pedro Quintanilha - Mentalidade Empreendedora,Eduardo Lima Ferreira,≤100
193719533998484,Fundação Fernando Henrique Cardoso,Fundação FHC,≤100
104267705031711,Fernando Conrado - Corações e Almas,Fernando Conrado,≤100
365328780221103,Museu da Pessoa,Museu da Pessoa,≤100
201878973201295,Republicanos10,Republicanos10,≤100
1165488993512231,Nossas,NOSSAS,≤100
107449552324057,Projeto Vereador Vitorioso,Vereador Vitorioso,≤100
175072079887754,Sindicatos Online,Sindicatos Online - SON,≤100
111241944518289,Cristãos na Política,Instituto Dankemo,≤100
187970114581051,Anistia Internacional Brasil,Anistia Internacional Brasil,≤100
112021296931600,Mônica Lopes,IBPOM,≤100
111326818564734,Projeto Opaoma,Camila Capel,≤100
364736787037906,Professor João Paulo Oliveira,Professor João Paulo Oliveira,≤100
1640977399472632,Sindicato Dos Bancários CG-MS,SEEBCG-MS,≤100
678761768950811,Luiz Philippe de Orleans e Bragança,Luiz Philippe de Orleans e Bragança,≤100
179837479250006,Marcelo Lino,Marcelo Lino Da Silva,≤100
534805630341699,Idecan Oficial,"INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ASSISTENCIAL NACIONAL",≤100
101223071616706,Insight Inteligência,Insight Comunicação,≤100
540247616482635,Nohs Somos,Nohs Somos,≤100
169581459856639,AMES BAHIA,Ames Camaçari,≤100
1587038224698973,Renova Andes,Renova Andes,≤100
193453904723542,Mateus Braga,Mateus Carlos Da Silva Braga,≤100
106063862426200,nelsoncanedoadvogado,Nelson Canedo Motta,≤100
363140553718136,Epoch Times Brasil,EPOCH TIMES BRASIL LTDA,≤100
255804437808407,Vale,Vale,≤100
157912844276400,Governo da Bahia,Governo da Bahia,≤100
111545230641407,Professora  Ms Luiza Mandela,These ads ran without a disclaimer,≤100
110106808143124,Siricutico,Siricutico Oficial,≤100
