Page ID,Page name,Disclaimer,Amount spent (ZAR)
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
144985128871748,City of Cape Town,City of Cape Town,≤100
102265308016316,Al Jama-ah,Al Jama-ah,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
740116816003959,Western Cape Government,Western Cape Government,≤100
6011868110,Democratic Alliance,Democratic Alliance,≤100
1271402709601865,HEALA,HEALA,≤100
1742410059361710,AwakeMzansi,Awake Mzansi,≤100
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
136956534616,Times LIVE,TimesLIVE,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
