Page ID,Page name,Disclaimer,Amount spent (BAM)
1676047195961611,Impuls,"Udruženje građana ""Impuls""",≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,≤100
263396107142816,Transparency International Bosna i Hercegovina,Transparency International in BiH,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
163080080447411,Републичка странка Српске,Filip Lučić,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
109652028193268,Revizije info,Revizije info,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Filip Lučić,≤100
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100
1607622842896752,interview.ba,Fondacija Infohuse,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
147315858633088,Istinomjer,Istinomjer,≤100
197596636939679,tacno.net,Tacno.net,≤100
429813513718776,SDP BiH,SDP BiH,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100
107158445278300,ŽIVOT Stranka,Dražen Ivanović,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa (CCI),≤100
106099145362821,Goražde bez pesticida,Harun  Bešlija,≤100
296414110504133,CEI NAHLA,These ads ran without a disclaimer,≤100
158714780827513,UNFPA,These ads ran without a disclaimer,≤100
230933073731137,HRT Vijesti,These ads ran without a disclaimer,≤100
112724472142155,Pomak Bihać,Pokret za Modernu i Aktivnu Krajinu POMAK,≤100
111821271714950,Democracy Frontline - конкурс для українських митців,These ads ran without a disclaimer,≤100
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100
607962316079796,PLEXIGLAS - The Original,These ads ran without a disclaimer,≤100
540509065968980,Alternativni centar za devojke / Alternative girls' center,These ads ran without a disclaimer,≤100
109109030873071,Kritika HDP,These ads ran without a disclaimer,≤100
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100
106639225615239,Keine Steuergeschenke an internationalen Sportverbände,These ads ran without a disclaimer,≤100
