Page ID,Page name,Disclaimer,Amount spent (ZAR)
1482645265280695,amandla.mobi,amandla.mobi,903
110901495091012,Crtve Development,Crtve Development with Facebook Ad credits,136
195909420099,Solidariteit,Solidariteit,≤100
379138726819,ACDP,ACDP,≤100
86579745433,South African Institute of Race Relations,South African Institute of Race Relations,≤100
6011868110,Democratic Alliance,Democratic Alliance,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
1271402709601865,HEALA,HEALA,≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
2145594122138312,Action Society,Action Society,≤100
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100
325113820874966,OUTA - Organisation Undoing Tax Abuse,Organisation Undoing Tax Abuse (OUTA),≤100
336794296437261,DA GPL,DA Gauteng Provincial Legislature,≤100
109797290826876,Ian Cameron,Action Society,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
108089514820680,Minister Ben Nwaulu,These ads ran without a disclaimer,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100
434577883273454,Sihle Zikalala,Sihle Zikalala,≤100
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,≤100
104775019322394,ANC Youth League Ward 25,These ads ran without a disclaimer,≤100
10150139011205084,Cape Independence Party - Vote Capexit,Cape Independence Party,≤100
1742410059361710,AwakeMzansi,Awake Mzansi,≤100
117105021304811,Bigggie,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
