Page ID,Page name,Disclaimer,Amount spent (CAD)
113246738704586,Northern Territories Federation of Labour,Northern Territories Federation of Labour,≤100
168106993245736,Canada Post,Canada Post,≤100
186266941387011,BMO Financial Group,BMO Financial Group,≤100
6319213302,Heart & Stroke,Heart & Stroke,≤100
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,≤100
303473312998028,FedEx,FedEx,≤100
123235041462,The Fraser Institute,Fraser Institute,≤100
202220023130891,Bell Canada,Bell Canada,≤100
162936387068600,Ontario Public Service Employees Union (OPSEU),Ontario Public Service Employees Union (OPSEU/SEFPO),≤100
901776976544599,RBC Wealth Management,RBC Wealth Management,≤100
10419173702,Maxime Bernier,People's Party of Canada,≤100
1097840090260804,National Police Federation,National Police Federation,≤100
1671097993122619,Children Believe,Children Believe,≤100
118040041222760,Juan Luis Garrido,Juan Luis Garrido,≤100
1589839557920915,National Disability Credit Alliance,National Disability Credit Alliance,≤100
985797494956599,The News Forum,The News Forum,≤100
428551390928740,Fondation Rideau Hall Foundation,Rideau Hall Foundation,≤100
121222984568561,Amnesty International Canada,Amnesty International Canada,≤100
281999881613,World Vision Canada,World Vision Canada,≤100
10633250963,Save the Children Canada,Save the Children Canada,≤100
243795232247,Mennonite Central Committee - MCC,Mennonite Central Committee - MCC,≤100
100999094747422,Land Needs Guardians,Land Needs Guardians,≤100
27234020592,UNICEF Canada,UNICEF Canada,≤100
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,≤100
111404328067824,Friends of Land Use Planning,Friends of Land Use Planning,≤100
159713615718,WWF-Canada,WWF-Canada,≤100
405377872902754,Canada Action,Canada Action,≤100
169042736456594,All Out,ConnectAd,≤100
102136459052072,ICI Grand Nord,Radio-Canada,≤100
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,≤100
24235835555,Kids Help Phone,Kids Help Phone,≤100
126625247383774,Export Development Canada - Exportation et développement Canada,Export Development Canada - EDC,≤100
261752512263,Canadian Red Cross,Canadian Red Cross,≤100
1665089323732197,Tripping on Air,Ardra Leah Shephard,≤100
26394435211,Canadian Cancer Society,Canadian Cancer Society,≤100
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,≤100
115835521825983,UNHCR Canada,UNHCR Canada,≤100
105288666168351,SOS Children's Villages Canada,SOS Children's Villages Canada,≤100
85291563763,ICNA Relief Canada,ICNA Relief Canada,≤100
1538230646323033,SecondStreet.org,SecondStreet.org,≤100
1522162571382952,Oceana Canada,Oceana Canada,≤100
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,≤100
510183342342621,Bell MTS,Lavanya Rajaian,≤100
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,≤100
103655764654302,Indigenous Leadership Initiative,The Indigenous Leadership Initiative,≤100
658318450979357,Globe Content Studio,Globe Content Studio,≤100
1791681504238516,U-Report Canada - English,UNICEF Canada,≤100
638391216643974,CodeBlue BC,CodeBlue BC,≤100
903577146395715,Toronto Centre,Toronto Centre,≤100
19750184960,Greenpeace Canada,Greenpeace Canada,≤100
112483398798217,Interval House,Interval House,≤100
376006035816016,Storyworth,These ads ran without a disclaimer,≤100
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,≤100
885367448177343,Bob Zimmer MP,Bob Zimmer MP,≤100
104321259649840,CATIE,CATIE,≤100
208067655942289,Postes Canada,Canada Post,≤100
45337425068,CARE Canada,CARE Canada,≤100
113297740077607,Canadian Energy Centre,Canadian Energy Centre,≤100
110399254207637,Stop Divestment InvestNow,Stop Divestment InvestNow,≤100
53321777320,Coeur + AVC,Coeur + AVC,≤100
35715544220,Stand.earth,Stand.earth,≤100
106764462731658,Honest Reporting Canada,Honest Reporting Canada,≤100
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,≤100
12101479244,B'nai Brith Canada,B'nai Brith Canada,≤100
685839561442324,Tim S. Uppal,Tim S. Uppal,≤100
179817145411700,Fondation René-Lévesque,Fondation René-Lévesque,≤100
107385241806,Plan International Canada,Plan International Canada,≤100
136772905237,Historica Canada,Historica Canada,≤100
80851911931,Canadian Civil Liberties Association,Canadian Civil Liberties Association,≤100
249042335139282,BDC,BDC,≤100
674109146110155,Debunk Inc,Debunk Inc,≤100
106265291831309,Unite for Change,Unite for Change,≤100
316302965122489,Clean Energy Canada,Clean Energy Canada,≤100
572892516092329,"Yvan Baker, MP","Yvan Baker, MP",≤100
102641588585816,Victoria Rumble Room,Johny D Juricic,≤100
