Page ID,Page name,Disclaimer,Amount spent (KES)
100904822517086,Non-trivial,These ads ran without a disclaimer,1549
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,375
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,228
101395678744958,Hon Philomena Chenangat Loitarengan,Philomena Chenangat Loitarengan,185
113294518417695,Kithure Kindiki Fans,Vinson Kyalo Lui,151
105833652399018,Maina Karobia,Mwangi Godfrey Maina,≤100
509725492464019,Hon Simon Ng'ang'a King'ara - SK,Simon Nganga Kingara,≤100
1506723769658512,Susan Kihika,Susan Kihika,≤100
101791082178391,only1jood,These ads ran without a disclaimer,≤100
1027661637264186,Gov. Cecily Mbarire Fans Page,These ads ran without a disclaimer,≤100
344115315677504,This Is Laikipia,This Is Laikipia,≤100
108093538860165,Dating Hub,These ads ran without a disclaimer,≤100
108584305558738,Kobieroh Evans,These ads ran without a disclaimer,≤100
113053031749969,Rexson Media,These ads ran without a disclaimer,≤100
103018869332378,BantuPage,These ads ran without a disclaimer,≤100
118098264591916,charlette_desire,These ads ran without a disclaimer,≤100
109812369043366,ALONZO,These ads ran without a disclaimer,≤100
150793518281117,Covestro,These ads ran without a disclaimer,≤100
6651543066,CNN Business,These ads ran without a disclaimer,≤100
114850554916848,Raadsame,These ads ran without a disclaimer,≤100
105275855511538,Light Up The World,These ads ran without a disclaimer,≤100
138007942944115,African Arguments,These ads ran without a disclaimer,≤100
1065631633538453,Physicians Across Continents,These ads ran without a disclaimer,≤100
122193900870158,Emirats Africa Update,These ads ran without a disclaimer,≤100
