Page ID,Page name,Disclaimer,Amount spent (GBP)
26698813123,British Red Cross,British Red Cross,42040
100771226087265,Susie's Tips,Susie's Tips,9058
33268280976,Disasters Emergency Committee (DEC),Disasters Emergency Committee (DEC),8628
7715002593,UNICEF UK,Unicef UK,7201
220543443746,International Rescue Committee - UK,International Rescue Committee UK,5875
311627208673,WWF UK,WWF UK,2555
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,2225
9250349228,Greenpeace UK,Greenpeace UK,1997
18933154958,CARE International UK,CARE International UK,1987
10677003998,Shelter,Shelter,1737
799576543492660,The Week Junior,The Week Junior,1580
158077247591710,Refuge,Refuge,1318
713179875369048,London Gov,The Greater London Authority,1297
7527864602,WaterAid UK,WaterAid UK,1208
121936349543,World Vision UK,World Vision UK,1140
35671512696,World Animal Protection UK,World Animal Protection UK,1038
514212165305248,Leigh Day,Leigh Day,897
483680375497477,Shell Energy,Shell Energy Retail Limited,865
1613092172114946,DWP Digital,Department for Work and Pensions,788
102639461303190,Fair Pay For All,Fair Pay For All,744
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),736
13047522725,Crimestoppers,Crimestoppers,719
353224381469808,ifaw,IFAW,693
55984857501,Open Doors UK & Ireland,Open Doors with Brother Andrew,645
21242962092,ClientEarth,ClientEarth,618
103359739162746,The News Agents,The News Agents,573
177855115588808,The Week UK,The Week UK,545
348366988862054,Oxfam Campaigns,Oxfam Great Britain,479
39605200520,ActionAid UK,ActionAid UK,479
841894835830532,Electoral Commission UK,Electoral Commission UK,466
1738524969810037,Mission India UK,Mission India UK,465
18168505158,The Woodland Trust,Woodland Trust,449
101255718164248,350 UK,350.org,417
107310464728068,Britain Remade,BRM Futures Limited,380
106946654868342,Water's Worth Saving,Water UK,363
7043497714,Christian Aid,Christian Aid,354
105363327666748,Va-cio,These ads ran without a disclaimer,351
7624294394,Amnesty International UK,Amnesty International UK,346
11965205188,Practical Action,Practical Action,319
97708339756,Action for Children,Action for Children,305
249209468838241,Good Law Project,Good Law Project,295
6233536938,War Child UK,War Child UK,279
208573062515662,Freedom from Torture,Freedom from Torture,278
6366026879,Dogs Trust,Dogs Trust,274
104677264773039,We Eat Balanced,Agriculture and Horticulture Development Board,263
274651352565844,Oltco Ltd,Oltco Ltd,258
25749647410,The Labour Party,The Labour Party,257
117476785190,Save the Children UK,Save the Children UK,247
112845639376,Refugee Action,Refugee Action,241
54605029793,British Medical Association,British Medical Association,239
175067939218623,Mercy Corps - Europe,Mercy Corps Europe,236
102639461303190,Fair Pay For All,Maddison Clarke,232
238394282845251,The Big Issue,The Big Issue,228
