Page ID,Page name,Disclaimer,Amount spent (BAM)
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
147315858633088,Istinomjer,Istinomjer,≤100
1676047195961611,Impuls,"Udruženje građana ""Impuls""",≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
109652028193268,Revizije info,Revizije info,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
417853371621843,Mirnes Ajanović za gradonačelnika Tuzle,Mirnes Ajanović,≤100
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa (CCI),≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
107158445278300,ŽIVOT Stranka,Dražen Ivanović,≤100
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Filip Lučić,≤100
1607622842896752,interview.ba,Fondacija Infohuse,≤100
106099145362821,Goražde bez pesticida,Harun  Bešlija,≤100
753740401664958,Omer Berbic,Omer Berbic,≤100
120481645203741,Dragan Bursać,Dragan Bursać,≤100
506759763041477,Čapljina u srcu,Pero Previšić,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri Civilnih Inicijativa,≤100
105802984846557,"Zaustavimo nelegalnu eksploataciju šljunka u Maglaju, Zavidovićima i Žepču",These ads ran without a disclaimer,≤100
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100
