Page ID,Page name,Disclaimer,Amount spent (LBP)
403613336419794,Almustachar,Almustachar,44776
1438703606372190,Elham Said Freiha,Elham Freiha,44776
499652873723792,قبل وبعد,قبل وبعد,44776
101538412538521,شطرنج / مع محمد صابونجي,إياد خالد,38358
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,22537
100706719315707,The Policy Initiative مبادرة سياسات الغد,The Policy Initiative مبادرة سياسات الغد,18507
154029261310643,LADE,LADE,14925
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,14925
107800617419717,MYKA Foundation,Elie M. ElHelou,14925
1744356319118477,هنا لبنان,هنا لبنان,14925
113125512071030,المصدر العربي,المصدر العربي,14925
106197498149118,لبنان الكبير,Grand Lebanon,12836
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,6716
106821968055687,Leila Dagher,Leila Dagher,2537
584235125052579,Al Afkar Magazine,These ads ran without a disclaimer,≤100
107266890756055,Nicolas Chikhani Finance,Nicolas Chikhani Finance,≤100
110470091436602,Ici Beyrouth,Ici beyrouth,≤100
1724847890883088,Sheikh Saud bin Saqr Al Qasimi Foundation for Policy Research,These ads ran without a disclaimer,≤100
466221740108607,May Chidiac Foundation - Media Institute,May Chidiac,≤100
164432246934163,Chopard,These ads ran without a disclaimer,≤100
105319651353770,Jusur,Jusur,≤100
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100
188890111132385,Oxford Academic (Oxford University Press),These ads ran without a disclaimer,≤100
128417954019381,Al-Moltaka,Melhem Boustany,≤100
1904241623145929,Democracy Reporting International Lebanon,Sharks Creators,≤100
107698404702208,Alkalima,Alkalima Onlime,≤100
