Page ID,Page name,Disclaimer,Amount spent (FJD)
1743956595869001,Sitiveni 480 Rabuka,The Peoples Alliance,≤100
200791327158338,Bill Gavoka,Viliame Rogoibulu Gavoka,≤100
111474633636880,Fiji Independent Commission Against Corruption - FICAC,Fiji Independent Commission Against Corruption (FICAC),≤100
108993025227860,Bhavick Kapadia - Candidate 191 - NFP,Bhavick Kapadia,≤100
100933916035770,Mohammed R. Khan,Mohammed Rieaz Khan,≤100
101115795699266,Rinesh Sharma,Rinesh Sharma,≤100
113451204686577,Vote 479 Filipe Tuisawau,Vote 479 Filipe Tuisawau,≤100
373802769341908,Fijian Elections Office,Fijian Elections Office,≤100
678542618881925,FijiFirst,FijiFirst Party,≤100
2020211584945890,Aiyaz Sayed-Khaiyum,Aiyaz Sayed-Khaiyum,≤100
