Page ID,Page name,Disclaimer,Amount spent (SEK)
161213770567846,Operation Smile Sverige,Operation Smile Sverige,4412
608975645850217,Vattenfall,Vattenfall Sverige,3351
369122343101775,e.on,E.ON Sverige AB,2185
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,2088
382243262003,Plan International Sverige,Plan International Sverige,1410
114526821939129,Arla,Arla,1243
111630258867610,Röda Korset,Röda Korset,1168
59324455950,UNICEF Sverige,UNICEF Sverige,1166
72659261793,Rädda Barnen,Rädda Barnen,1154
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,1101
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),1009
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,881
294444197371898,Byggnads Skåne,Byggnads Skåne,847
126567104406,Hyresgästföreningen,Hyresgästföreningen,783
162985227114132,Skellefteå Kraft,Skellefteå Kraft,740
95735961890,Greenpeace Sverige,Greenpeace Sverige,728
186513678039755,Fortum,Fortum Sverige,709
19746853632,Djurens Rätt,Djurens Rätt,643
369582590803,Dagens ETC,ETC-tidningarna,614
109886133732943,RESCUE - Sverige,RESCUE - Sverige,509
101341883359561,Matsmart Sverige,Matsmart,502
239177706143268,Mobility Sweden,Mobility Sweden,458
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,446
151968634822363,Peab,These ads ran without a disclaimer,439
149155351773944,SEB,Skandinaviska Enskilda Banken,429
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,393
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,320
103945879157509,Nordea Fonder,Nordea Funds AB,308
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,245
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,231
126245644082634,Malmömoderaterna,Malmömoderaterna,210
179931025357058,Kommunal,Kommunal,201
98623096089,Lantmännen,Lantmännen,193
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",190
102492259289991,Vänskapsförbundet Sverige-Israel i Malmö-Lund,Vänskapsförbundet Sverige-Israel i Malmö-Lund,188
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,150
212604496324,Fackförbundet ST,Fackförbundet ST,150
18880778360,ActionAid Sweden,ActionAid Sweden,149
42676805259,Diakonia,Diakonia,147
153270724787,Amnesty International Sverige,Amnesty International Sverige,146
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,125
1633181116933852,SvD Junior,SvD Junior (SvD),116
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,115
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,114
24574889995,Charlie Weimers MEP,Charlie Weimers,113
356032977210,Vi-skogen,Vi-skogen,103
113710601984970,Barnfonden,Barnfonden,102
114262485262083,Konsumentverket,Konsumentverket,≤100
965458110149319,Byggindustrin,Byggindustrin,≤100
273053169937029,ClimateHero,ClimateHero,≤100
239855722130,Nyhetsmagasinet Fokus,Fokus,≤100
129664437103456,Medicinska fakulteten vid Lunds universitet,Medicinska fakulteten vid Lunds universitet,≤100
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,≤100
328754490337,Vårdförbundet,Vårdförbundet,≤100
277541019375317,Jämställdhetsmyndigheten,Jämställdhetsmyndigheten,≤100
1531320107133721,Syre,Dagens O2 AB,≤100
767749640051136,Heléne Fritzon,Socialdemokraterna i Europaparlamentet,≤100
106579105171694,ETC nyhetsmagasin,ETC Media AB,≤100
125777020786691,Mikael Damberg,Socialdemokraterna,≤100
314872662206,Ekonomifakta,Ekonomifakta,≤100
130148200513245,Amazon Watch Sverige,Amazon Watch Sverige,≤100
190994184253208,Vänsterpartiet Lund,Sahlen Carl Jesper,≤100
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,≤100
166406746310,Resumé,Resumé,≤100
110723197258182,Sverige inför verkligheten,Sverige inför verkligheten,≤100
255288010153,Sida - Styrelsen för Internationellt Utvecklingssamarbete,Sida - Styrelsen för Internationellt Utvecklingssamarbete,≤100
208751565805849,Stiftelsen Expo,Stiftelsen Expo,≤100
576845979156129,Techarenan,Techarenan,≤100
534553447006742,Klimatklubben,Klimatklubben,≤100
1402657726653154,Hallå konsument,Konsumentverket,≤100
8040892957,Socialdemokraterna,Socialdemokraterna,≤100
237146235237,Timbro,Tankesmedjan Timbro,≤100
539297539496434,Dagens Samhälle,Dagens Samhälle,≤100
122512491125750,Ängelholms kommun,Ängelholms kommun,≤100
171919835807,TCO,TCO,≤100
105345278410827,Frälsningsarméns sociala arbete,Frälsningsarmén,≤100
382066395683576,Dustin,Dustin,≤100
163305633746125,Karneval förlag,Holviks,≤100
1669486323321422,Lund University Sustainability Forum,Lunds universitet,≤100
329452290816078,Tidningen Market,Tidningen Market,≤100
175843834306,WaterAid Sverige,WaterAid Sverige,≤100
323156205347,Vänsterpartiet,Vänsterpartiet,≤100
312084019369,Dagens Medicin,Dagens Medicin,≤100
303070626373544,Socialdemokraterna i Helsingborg,Socialdemokraterna Helsingborg,≤100
