Page ID,Page name,Disclaimer,Amount spent (ILS)
271404389601060,Yaakov Hagoel - יעקב חגואל,Yaakov Hagoel - יעקב חגואל,261
103907495935157,צו חירום,צו חירום,238
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,229
114777898543659,Docaviv דוקאביב,Docaviv,155
100230935579742,מתחת לרדאר,מתחת לרדאר,153
100900832922166,אחים לנשק-לוחמים ולוחמות במסע להצלת הדמוקרטיה,Michal Even,141
110917020553426,Ari Shavit - ארי שביט,Ari Shavit - ארי שביט,129
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,120
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,116
111177802287614,Begin Center | מרכז מורשת מנחם בגין,Begin Center | מרכז מורשת מנחם בגין,106
204780362875106,מקור ראשון,מקור ראשון,≤100
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,≤100
1432282697015880,הסתדרות הפועל המזרחי,הסתדרות הפועל המזרחי,≤100
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",≤100
107271768812957,Q4Israel - הרבעון הרביעי,Q4Israel - הרבעון הרביעי,≤100
57400032655,קבלה לעם,"בני ברוך קבלה לעם ע""ר",≤100
655073717925481,קרן ברל כצנלסון,קרן ברל כצנלסון,≤100
150003831696805,Tsofen  تسوفن   צופן,Tsofen تسوفن צופן,≤100
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,≤100
303720457847,לשכת רואי חשבון בישראל,לשכת רואי חשבון בישראל,≤100
426502237384307,מפלגת יש עתיד,מפלגת יש עתיד,≤100
113410581644966,אורית גוטמן,אורית גוטמן,≤100
101357059349047,אמא חטובה בשיטה הלפטינית,These ads ran without a disclaimer,≤100
109708842392860,מרכז השלטון המקומי בישראל,מרכז השלטון המקומי בישראל,≤100
162089177185799,התאחדות התעשיינים בישראל,התאחדות התעשיינים בישראל,≤100
268108602075,Benjamin Netanyahu - בנימין נתניהו,מפלגת הליכוד,≤100
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,≤100
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,≤100
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,≤100
212508465430143,מען ארגון עובדים  معًا - نقابة عمالية MAAN Workers Association,WAC-MAAN,≤100
158195257562237,מיכאל לייטמן,"בני ברוך קבלה לעם ע""ר",≤100
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,≤100
104743111658191,Ron Ben Shushan,רון בן שושן,≤100
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,≤100
548633762006156,השילוח - כתב עת ישראלי להגות ומדיניות - Hashiloach,השילוח - כתב עת ישראלי להגות ומדיניות - Hashiloach,≤100
104222621115858,הביטחוניסטים,הביטחוניסטים,≤100
429184557235927,בצלאל סמוטריץ',בצלאל סמוטריץ,≤100
767262423350854,פורום הדיור הציבורי,Danny Gigi,≤100
103793039307889,נתי לרנר לראשות מועצת יואב,נתי לרנר לראשות מועצת יואב,≤100
1915868198652314,האם ראית את האופק לאחרונה?,האם ראית את האופק לאחרונה?,≤100
304921469636475,סיכוי-אופוק سيكوي-أفق,עמותת סיכוי-אופוק,≤100
1099335593559205,כנס החירות FreedomCon,THE OBJECTIVIST FREEDOM CENTER LTD. (CC),≤100
103851895179872,אמהות לביאות,Nataly Milner,≤100
109523830757998,דמוקרטtv,דרכנו,≤100
849824028408565,תנועת אם תרצו,תנועת אם תרצו,≤100
649373828424341,Moshe Lion - משה ליאון,Moshe Lion - משה ליאון,≤100
1392138171047822,"ארגון נכי צה""ל","ארגון נכי צה""ל",≤100
101246934875099,Shofar,These ads ran without a disclaimer,≤100
502039876516834,משרד המשפטים,משרד המשפטים,≤100
137449656335533,Amnesty International Israel,Amnesty International Israel,≤100
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,≤100
1921160331531297,Act. تغيير اعلامي,סיכוי אופוק - سيكوي أفق,≤100
116194014677604,עופר סלע. ממשיכים את התנופה ביואב,Ofer Sela,≤100
