Page ID,Page name,Disclaimer,Amount spent (ZAR)
6011868110,Democratic Alliance,Democratic Alliance,145
740116816003959,Western Cape Government,Western Cape Government,118
106283144372677,IWG,These ads ran without a disclaimer,≤100
121747307583,Topco Media,Topco Media,≤100
195909420099,Solidariteit,Solidariteit,≤100
136956534616,Times LIVE,TimesLIVE,≤100
1742410059361710,AwakeMzansi,Awake Mzansi,≤100
379138726819,ACDP,ACDP,≤100
86579745433,South African Institute of Race Relations,South African Institute of Race Relations,≤100
177443222917451,Hands Off My Choices,These ads ran without a disclaimer,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
478479492268974,Sunday Times ZA,Arena Africa,≤100
115864538089777,Dear SA - Have Your Say,Dear S Africa,≤100
109374997915302,Mayor Geordin Hill-Lewis,Mayor Geordin Hill-Lewis,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,≤100
434577883273454,Sihle Zikalala,Sihle Zikalala,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
144954928909651,FAK,FAK,≤100
504946453003245,FarmSpace,These ads ran without a disclaimer,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100
253074924813261,Tiisetso Maloma,These ads ran without a disclaimer,≤100
158816240880142,Houghton House Addiction & Mental Health Treatment Centres,These ads ran without a disclaimer,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
445649935466422,My Vote Counts,My Vote Counts,≤100
102268322635915,The Finance Daily,These ads ran without a disclaimer,≤100
165736836881428,GroundUp,GroundUp News NPC,≤100
629021617133721,Judges Matter,Judges Matter,≤100
1019691118063870,Traverse Le Goff MP,Traverse Le Goff MP,≤100
10150139011205084,Cape Independence Party - Vote Capexit,Cape Independence Party,≤100
1271402709601865,HEALA,HEALA,≤100
214398035293119,Atlantic Union Adventist Youth Ministries,These ads ran without a disclaimer,≤100
112945082105513,Free AstroScience,These ads ran without a disclaimer,≤100
130369030334301,KidsRights,These ads ran without a disclaimer,≤100
111113447867154,The Daily Dose,These ads ran without a disclaimer,≤100
