Page ID,Page name,Disclaimer,Amount spent (DKK)
65929129383,Røde Kors,Røde Kors,4220
26458152911,SOS Børnebyerne,SOS Børnebyerne,2079
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,1536
17428770950,RÆSON,RÆSON,1474
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,1464
12787473132,Berlingske,Berlingske,1457
399210657232918,PlanBørnefonden,PlanBørnefonden,1402
72672361910,Børns Vilkår,Børns Vilkår,1281
59143726810,Psykiatrifonden,Psykiatrifonden,1071
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,1018
55365680705,Greenpeace Danmark,Greenpeace Danmark,955
167891603415958,Lederne,Lederne,785
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,582
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,525
133707013355759,Danner,Danner,435
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,435
867877683280051,Weekendavisen,Weekendavisen,371
144965885963,Oxfam Danmark,Oxfam Danmark,363
304554445813,Videncentret Bolius,Videncentret Bolius,326
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,324
102154048301476,Lederstof.dk,Lederne,285
852608988134698,Tikko,Tikko,282
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,270
63691965101,UNICEF Danmark,UNICEF Danmark,250
41459763029,Socialdemokratiet,Socialdemokratiet,245
533315386692100,DRC - Danmarks Restauranter & Caféer,DRC - Danmarks Restauranter & Caféer,239
246977185497434,Plastic Change,Plastic Change,235
178362315106,European Parliament,European Parliament,209
67571270393,Red Barnet,Red Barnet,203
304554445813,Videncentret Bolius,Bolius,189
287306323369,Børnecancerfonden,Børnecancerfonden,173
748887235210811,Obton Forvaltning A/S,Obton A/S,166
105511328705392,HØRT,Børns Vilkår,165
110560691837684,SolCompagniet,SolCompagniet,151
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,150
