Page ID,Page name,Disclaimer,Amount spent (CLP)
108922248816222,Secretaría de Participación Ciudadana,Secretaría de Participación Ciudadana,73906
231350380299380,Las Últimas Noticias (LUN),Las Últimas Noticias (LUN),10421
342069352483789,Doritos,These ads ran without a disclaimer,9299
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,3314
228557190541436,BancoEstado,BancoEstado,2968
105560941738247,Movilizando Chilenos,Movilizando Chilenos,2589
105781682496360,Diputado Gastón Von Muhlenbrock,Diputado Gastón Von Muhlenbrock,1996
580663538777736,Consejo Minero,Feedback Comunicaciones,1962
103527991214141,Cero DICOM,Cero Dicom,1873
102660885525434,Con mi plata NO,Con mi plata No,1603
558224964238853,Anglo American,Anglo American,1255
1548643738480723,Asistencia Deudores,Asistencia Deudores,918
103030962615298,Chile YAAC,Chile YAAC,906
181189911970230,Alberto Undurraga V,Alberto Undurraga V,831
1447342118848920,Universidad Adolfo Ibañez,Universidad Adolfo Ibáñez,802
78239901502,Diario Financiero,Grupo DF,802
1661207433889496,Dr Salvador Urrutia y Constitución,Dr Salvador Urrutia y Constitución,721
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,635
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,478
1544524942457436,Iván Flores García,Iván Flores García,370
100714821561761,Tenemos que Hablar de Chile,Tenemos que Hablar de Chile,343
386423238164424,Enel Chile,Enel Chile,293
112414063439760,DeliBest Chile,Brecha Digital Consultores,290
285417644878678,Red Antofagasta,Diarios en Red,240
600714166958045,Priority Educa,These ads ran without a disclaimer,218
14048602469,El Ciudadano,El Ciudadano,178
1409821842658101,Merlín Research,Merlín Research,135
108557574347706,Fundación Conecta Mayor,Fundación Conecta Mayor,132
231952623614906,Daniel Melo Diputado,Diputado Daniel Melo,125
1051257695025495,PacificBlu,These ads ran without a disclaimer,118
100622491799515,Sara ConchaSmith Diputada Ñuble,Sara ConchaSmith Diputada Ñuble,113
226593947367922,Cultiva,Cultiva,≤100
110405624650830,Chile En La Encrucijada,Chile En La Encrucijada,≤100
154785904692548,SalmonChile,SalmonChile,≤100
101180752297383,Gustavo Benavente Diputado,Gustavo Benavente Diputado,≤100
510702412304298,Circulo Emancipador de Mujeres y Niñas con Discapacidad de Chile,Circulo Emancipador de Mujeres y Niñas con Discapacidad de Chile,≤100
145925692108470,Educación Continua UC Temuco,UNIVERSIDAD CATÓLICA DE TEMUCO,≤100
1819438634863531,Instituto Igualdad,Instituto Igualdad,≤100
1078394702212388,Programa Adulto Mayor UC,Programa Adulto Mayor UC,≤100
124189860659195,Astro Conducta,These ads ran without a disclaimer,≤100
103170399137650,¿Soy un ser humano?,These ads ran without a disclaimer,≤100
351583768232100,Red Tarapaca,Diarios en Red,≤100
100645555080281,Academia Nacional de Litigación,Academia Nacional de Litigación,≤100
103463095024719,Curiocity,These ads ran without a disclaimer,≤100
100700846323095,clinicamarguis,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
101750312738517,paolawalkernz,These ads ran without a disclaimer,≤100
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100
257465991058055,El Periodista,elperiodista.cl,≤100
371453409556353,Red Coquimbo,Diarios en Red,≤100
105543599245758,Coquimbo Reactiva,These ads ran without a disclaimer,≤100
304971412943967,Instituto de Zumpango en Estudios Superiores en Criminalística IZESC,These ads ran without a disclaimer,≤100
103463095024719,Curiocity,Curiocíty,≤100
756450494522524,Andrés Jouannet Diputado,Andrés Jouannet,≤100
113924653318737,ICF,ICF,≤100
113142270100791,Forbes Colombia,These ads ran without a disclaimer,≤100
307330256067716,Red Atacama,Diarios en Red,≤100
113838817025219,Coperiodistas,Coperiodistas,≤100
