Page ID,Page name,Disclaimer,Amount spent (SEK)
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,601
151159271594797,Systembolaget,Systembolaget,549
111630258867610,Röda Korset,Röda Korset,463
161213770567846,Operation Smile Sverige,Operation Smile Sverige,457
72659261793,Rädda Barnen,Rädda Barnen,450
126567104406,Hyresgästföreningen,Hyresgästföreningen,417
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,415
109886133732943,RESCUE - Sverige,RESCUE - Sverige,415
608975645850217,Vattenfall,Vattenfall Sverige,399
369582590803,Dagens ETC,ETC-tidningarna,359
114526821939129,Arla,Arla,317
59324455950,UNICEF Sverige,UNICEF Sverige,277
95735961890,Greenpeace Sverige,Greenpeace Sverige,266
19746853632,Djurens Rätt,Djurens Rätt,258
18880778360,ActionAid Sweden,ActionAid Sweden,246
382243262003,Plan International Sverige,Plan International Sverige,240
122854408319,Hjärt-Lungfonden,Hjärt-lungfonden,231
578953655567499,Jörgen Astonson,ETC Media AB,225
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),206
643137272398136,Sverige för UNHCR,Sverige för UNHCR,156
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,123
162985227114132,Skellefteå Kraft,Skellefteå Kraft,118
186513678039755,Fortum,Fortum Sverige,113
314872662206,Ekonomifakta,Ekonomifakta,105
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,101
236879092476,Håll Sverige Rent,Håll Sverige Rent,≤100
42676805259,Diakonia,Diakonia,≤100
178362315106,European Parliament,European Parliament,≤100
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,≤100
195379633820701,Svenskt Kött,Svenskt Kött,≤100
809338299217333,Svenska Epoch Times,Svenska Epoch Times,≤100
153270724787,Amnesty International Sverige,Amnesty International Sverige,≤100
379686162129542,Svea Bank,Svea Ekonomi,≤100
219410318157271,Läkarmissionen,Läkarmissionen,≤100
109724707089757,Barndom utan baksmälla,Barndom utan baksmälla,≤100
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,≤100
107190190987171,Tierpslistan,Tierpslistan,≤100
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,≤100
109609604086656,Vejpkollen.se,Vejpkollen.se,≤100
101662298069604,OIKOS,Insamlingsstifftelsen för Svensk Konservatism,≤100
166406746310,Resumé,Resumé,≤100
91217182731,Nordiska museet,Nordiska museet,≤100
239855722130,Nyhetsmagasinet Fokus,Fokus,≤100
801293393230795,Centerpartiet i Uppsala län,Centerpartiet i Uppsala län,≤100
237146235237,Timbro,Tankesmedjan Timbro,≤100
518144408210153,Våra barns klimat,Våra barns klimat,≤100
273053169937029,ClimateHero,ClimateHero,≤100
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,≤100
