Page ID,Page name,Disclaimer,Amount spent (BAM)
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,152
674047186003061,СНСД - SNSD,Савез независних социјалдемократа,≤100
1533737623509285,SNSD Banja Luka - СНСД Бања Лука,SNSD - Gradski odbor Banja Luka,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
1676047195961611,Impuls,"Udruženje građana ""Impuls""",≤100
102802955817933,Centralna izborna komisija Bosne i Hercegovine,Centralna izborna komisija Bosne i Hercegovine,≤100
753740401664958,Omer Berbić - kandidat za gradonačelnika Tuzle,Omer Berbic,≤100
789735661383506,Fondacija Tadž - Stipendiranje budućih hafiza,Fondacija Tadž - Stipendiranje budućih hafiza,≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
163080080447411,Републичка странка Српске,Filip Lučić,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
109652028193268,Revizije info,Revizije info,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
108716624991534,Sheriff Pub / Centrum Park,These ads ran without a disclaimer,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Filip Lučić,≤100
197596636939679,tacno.net,Tacno.net,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
147315858633088,Istinomjer,Istinomjer,≤100
1607622842896752,interview.ba,Fondacija Infohuse,≤100
297020503649756,Armin Amidžić,Armin Amidžić,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
100291101730616,Jasmin Ademović,Jasmin Ademovic,≤100
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
112724472142155,Pomak Bihać,Pokret za Modernu i Aktivnu Krajinu POMAK,≤100
1175187435840080,SDP Bihać,SDP Bihać,≤100
100187109256916,Ustajte Diskriminisani,Ustajte Diskriminisani,≤100
102437165128755,Anel Ibeljić,Anel Ibeljic,≤100
657947331038785,Toni Vukadin,Toni Vukadin,≤100
222651158602821,Narod i Pravda Novo Sarajevo,Elvedina Vugic,≤100
1473660889517303,Irfan Čengić,Irfan Cengic,≤100
1547105272188915,Elvedin Sedić,Elvedin Sedić,≤100
111361091313,NICABM,These ads ran without a disclaimer,≤100
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100
1943299705882249,Šuhret Fazlić,Šuhret Fazlić,≤100
1448893352065916,GO SDP BiH Tuzla,GO SDP Tuzla,≤100
2106619399390828,Adnan Šteta,Adnan Steta,≤100
417853371621843,Mirnes Ajanović za gradonačelnika Tuzle,Mirnes Ajanović,≤100
100341382977940,Arnaut Almir Beli-kandidat za gradonačelnika grada TUZLE.,Almir Arnaut,≤100
109811495210871,Saša Lukić,Saša Lukić,≤100
