Page ID,Page name,Disclaimer,Amount spent (PLN)
110554885250920,Postawmy na młodzież,Stowarzyszenie Projekt Poznań,205
1436380093288077,Park Dzieje,Stowarzyszenie Dzieje,180
102931488739,Platforma Obywatelska,Platforma Obywatelska,141
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,130
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,123
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,≤100
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,≤100
339855706171439,Dobra Fabryka,Dobra Fabryka,≤100
57544755889,Amnesty International Polska,Amnesty International Polska,≤100
1227194230675141,Pratia,Pratia SA,≤100
178362315106,European Parliament,European Parliament,≤100
228168274881,wysokieobcasy,wysokieobcasy,≤100
151650414730,Med Polonia,Med Polonia Sp. z o. o.,≤100
144808095552639,ING Polska,ING Polska,≤100
107750507339408,Bart Staszewski,Fundacja Basta,≤100
102811109411234,Do:łącz,Dołącz,≤100
100302862419697,"Wielkopolska, tej",UMWW,≤100
200404253354944,Bartłomiej Wróblewski,Bartłomiej Wróblewski,≤100
178415208919146,Suwerenna Polska,Solidarna Polska,≤100
123910440019,Renew Europe,Renew Europe Group,≤100
109218848183780,Marek Woźniak,UMWW,≤100
195591907176717,Grzegorz Piechowiak - Wiceminister Rozwoju i Technologii,Biuro Posła Grzegorza Piechowiaka,≤100
108470777303042,Robert Popkowski,Robert Popkowski,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
1937461523203000,Fundacja Promocji Pojazdów Elektrycznych FPPE,Fundacja Promocji Pojazdów Elektrycznych,≤100
1725148494424834,Urząd Marszałkowski Województwa Wielkopolskiego,Urząd Marszałkowski Województwa Wielkopolskiego,≤100
222141244609992,Poseł Jakub Rutnicki,Poseł Jakub Rutnicki,≤100
1683534065241470,OKO.press,OKO.press,≤100
1869296029982392,Fundacja Moniki Pyrek,These ads ran without a disclaimer,≤100
108301418501661,Odszkodowania Za Represje 1944-1989,Odszkodowania Za Represje 1944-1989,≤100
