Page ID,Page name,Disclaimer,Amount spent (KES)
515012855207241,Hon. Eng. Vincent Musyoka Musau Kawaya,Musa Vincent Musyoka,162
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,≤100
443961495782341,Wanjiku Muhia,Wanjiku Muhia,≤100
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,≤100
100244641708502,GK Timothy,These ads ran without a disclaimer,≤100
105833652399018,Maina Karobia,Mwangi Godfrey Maina,≤100
105282877901533,Hon Vincent Machoka,Hon Vincent Machoka,≤100
102330265243236,Foster Green Organisation,These ads ran without a disclaimer,≤100
344115315677504,This Is Laikipia,This Is Laikipia,≤100
103385427857032,Hon. Joseph Lendrix Waswa,These ads ran without a disclaimer,≤100
108214532179714,Inland Motors Mombasa,These ads ran without a disclaimer,≤100
133802223457730,ECLT Foundation,These ads ran without a disclaimer,≤100
769095856453652,Axel Arigato,These ads ran without a disclaimer,≤100
