Page ID,Page name,Disclaimer,Amount spent (DKK)
116269191760882,DSB,DSB,1612
100493784938009,Danske Æg,Danske Æg,1041
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,732
65929129383,Røde Kors,Røde Kors,671
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,639
72672361910,Børns Vilkår,Børns Vilkår,433
26458152911,SOS Børnebyerne,SOS Børnebyerne,393
12860228293,Politiken,Politiken,376
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,370
63691965101,UNICEF Danmark,UNICEF Danmark,316
200709746630443,Dyrenes Beskyttelse,Dyrenes Beskyttelse,311
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,307
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,273
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,252
99632942471,Læger uden Grænser (MSF),Læger uden Grænser (MSF),247
55365680705,Greenpeace Danmark,Greenpeace Danmark,228
250994288337708,Sex og Samfund,Sex og Samfund,219
121570596369,CARE Danmark,CARE i Danmark,218
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,207
20303574131,Nationalmuseet,Nationalmuseet,207
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,202
22030968736,Anima,Anima,191
304554445813,Videncentret Bolius,Videncentret Bolius,170
126543540781090,Ældre Sagen,Ældre Sagen,151
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,148
1677055535924085,Røgfri Fremtid,Røgfri Fremtid,147
12787473132,Berlingske,Berlingske,147
110321008383861,Red Barnets landsindsamling,Red Barnet,128
102154048301476,Lederstof.dk,Lederne,123
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,123
320982581296484,TV 2 Play,TV 2 Danmark A/S,122
748887235210811,Obton Forvaltning A/S,Obton A/S,121
708245239243699,Dansk Beton,Dansk Beton,114
304554445813,Videncentret Bolius,Bolius,≤100
867877683280051,Weekendavisen,Weekendavisen,≤100
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,≤100
183887801641951,Verdens Skove,Verdens Skove,≤100
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",≤100
529124290474705,Nikolaj Villumsen,Enhedslisten,≤100
287306323369,Børnecancerfonden,Børnecancerfonden,≤100
130388840342741,Danske Bank,Danske Bank,≤100
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,≤100
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,≤100
167891603415958,Lederne,Lederne,≤100
95141502089,Økonomisk Ugebrev,Økonomisk Ugebrev,≤100
106952222676974,Liberal Alliance,Liberal Alliance,≤100
146458868730806,ROSE - Dansk kylling siden 1952,HKScan Denmark A/S,≤100
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,≤100
108232155430828,Lawyer Jan,These ads ran without a disclaimer,≤100
227357657280228,Børnehjælpsdagen,Fonden Børnehjælpsdagen af 6. maj 1904,≤100
110560691837684,SolCompagniet,SolCompagniet,≤100
1704424023182897,Politiken Historie,Politiken Historie,≤100
657491824390744,Spring Copenhagen,Spring Copenhagen,≤100
1656501457909664,Klima- og Energigruppen Stevns,Klima- og Energigruppen Stevns,≤100
529124290474705,Nikolaj Villumsen,These ads ran without a disclaimer,≤100
1450750935146684,Asger Christensen i EU,Christensen Asger Bank Møller,≤100
106011385624734,Michael Rosenmark - kandidat for Danmarksdemokraterne,Michael Rosenmark,≤100
1817924258521386,Tina-Mia Eriksen,Eriksen Tina Mia,≤100
133707013355759,Danner,Danner,≤100
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,≤100
246977185497434,Plastic Change,Plastic Change,≤100
108086794971176,Innovationscenter for Økologisk Landbrug,Innovationscenter for Økologisk Landbrug,≤100
125934997444897,SuperBrugsen,Coop,≤100
280046142277,SIND - Landsforeningen for psykisk sundhed,SIND - Landsforeningen for psykisk sundhed,≤100
1507997959501973,Landbrug & Fødevarer,These ads ran without a disclaimer,≤100
246097715413231,Alkohol & Samfund,Alkohol & Samfund,≤100
103300074665238,Foreningen Atomkraft Ja Tak,Foreningen Atomkraft Ja Tak,≤100
36664432940,Amnesty International Danmark,Amnesty International Danmark,≤100
115737371820702,DEO - Demokrati i Europa,DEO - Demokrati i Europa Oplysningsforbundet,≤100
186645960378,Danwatch,Danwatch,≤100
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,≤100
314676938743,DM din akademiske fagforening,DM,≤100
144098125661833,Nordea Invest,Nordea Invest,≤100
217135424459,Karen Blixen Museum,Karen Blixen Museum,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
494902077334290,Tuborgfondet,Tuborgfondet,≤100
34906136673,Denmark.dk,These ads ran without a disclaimer,≤100
272052943302453,LearnX,These ads ran without a disclaimer,≤100
371163919965024,Andreas Karlsen,Karlsen Andreas Engelsborg,≤100
367522986719919,Gastech-Energi,Gastech-Energi A/S,≤100
101851515470757,Bauknecht Danmark,These ads ran without a disclaimer,≤100
49348971479,Pia Olsen Dyhr,SF,≤100
144965885963,Oxfam IBIS - Sammen mod ulighed,Oxfam IBIS,≤100
100700698043032,Simon Østergaard,Simon Østergaard,≤100
194452460650048,Global Aktion,Global Aktion,≤100
105511328705392,HØRT,Børns Vilkår,≤100
341299649231023,Zetland,Zetland,≤100
207401585966233,Inger Støjberg,Jacob Kjerumgaard,≤100
297422283612612,TotalEnergies,TotalEnergies,≤100
126084211821,Danmarks Socialdemokratiske Ungdom (DSU),Danmarks Socialdemokratiske Ungdom,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
500499026652500,Carmo A/S,These ads ran without a disclaimer,≤100
671022293105597,Alex Vanopslagh,Alex Vanopslagh,≤100
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,≤100
106050211691902,Allan Beier,Allan Bilgaard Beier,≤100
141343589252160,Dansk Industri - DI,Dansk Industri,≤100
154415494575789,IDA,IDA,≤100
314301147507,Astma-Allergi Danmark,Astma-Allergi Danmark,≤100
180519405977219,Frederiksværk Krisecenter,Frederiksværk Krisecenter,≤100
107853282035931,Susie Jessen - Folketingskandidat for Danmarksdemokraterne,Susie Janet Jessen,≤100
29097589538,Årsskriftet Critique,Årsskriftet Critique,≤100
106289989124233,Verdenspressen,Morten Berle Hammeken,≤100
356520931077196,Europabevægelsen,Europabevægelsen,≤100
59143726810,Psykiatrifonden,Psykiatrifonden,≤100
1522666927799763,BCG in Denmark,Boston Consulting Group,≤100
67571270393,Red Barnet,Red Barnet,≤100
32416796716,Lindhardt og Ringhof,Lindhardt og Ringhof,≤100
915465915145907,ALDE Partiet-  Individuelt Medlemskab i Danmark,Pedersen Rene Birger,≤100
2319925761607995,Radio4,RADIO FM4 A/S,≤100
100454262804823,Fyns Familielandbrug,Fyns Familielandbrug,≤100
192783424152018,Socialistisk Information,Leif Mikkelsen,≤100
116061635098137,Karina Lorentzen Dehnhardt,SF,≤100
141140922630894,RED Center,RED Center,≤100
376060695861577,Politikens Forlag,These ads ran without a disclaimer,≤100
109261517088528,Fremstillingsindustrien,Marie Thorsø Kousgaard,≤100
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,≤100
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,≤100
1060696937400942,Danske Fragtmænd,These ads ran without a disclaimer,≤100
123114457761430,Valby Lokaludvalg,Valby Lokaludvalg,≤100
575760076231543,Frihedsmuseet,These ads ran without a disclaimer,≤100
808135809280401,historiskerejser.dk,Anders Bager Eriksen,≤100
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,≤100
852608988134698,Tikko,Tikko,≤100
356590264357569,Palæstinaorientering,Ole Olsen,≤100
294885907302040,AdResult - Vi skaber online resultater,AdResult ApS,≤100
550512865030230,Promissio,Promissio,≤100
1541220236121470,Katarina Ammitzbøll,Katarina Ammitzboell,≤100
109553752103946,Leonard Mortensen,These ads ran without a disclaimer,≤100
951508531558534,Elbilforeningen i Danmark,Elbilforeningen i Danmark,≤100
103170447987623,Rosa Lykke Yde - SF,SF Randers,≤100
1417938685172201,Anders Wolf Andresen - politiker,Andresen Anders Wolf,≤100
170374349673146,Tænketanken Cevea,Tænketanken Cevea,≤100
322853351534278,Os Om Havet,Os Om Havet,≤100
28159151157,FOF København,FOF København,≤100
110217591284478,Green Innovation Makers,These ads ran without a disclaimer,≤100
1691032761182415,DR LYD,These ads ran without a disclaimer,≤100
1642871975974032,Danmarks Frie AutoCampere,These ads ran without a disclaimer,≤100
107575374711850,SAGA DK,Saga,≤100
133258813378339,Frederikssund Bibliotekerne,These ads ran without a disclaimer,≤100
109440254274204,Sara Darling Jørgensen,SF,≤100
102015565381973,Vigeur,These ads ran without a disclaimer,≤100
178362315106,European Parliament,European Parliament,≤100
169223023097339,Liberal Alliance Skanderborg,Linda Christie Andrea,≤100
821686444837174,Billund Kommune,Billund Kommune,≤100
103692315110627,Organsk,These ads ran without a disclaimer,≤100
1427831394175028,Mælken.dk,Mælken.dk,≤100
153063591397681,Amazon Web Services,These ads ran without a disclaimer,≤100
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100
101176682686881,Caldwell Hutchinson,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
10150095789975313,Trashy Bags Africa,These ads ran without a disclaimer,≤100
102952309457793,History in Number,These ads ran without a disclaimer,≤100
105386342512879,Gorgeous pl5,These ads ran without a disclaimer,≤100
924692171033381,"UNHCR, FN’s Flygtningeorganisation",These ads ran without a disclaimer,≤100
108166048910328,Срочные Новости,These ads ran without a disclaimer,≤100
