Page ID,Page name,Disclaimer,Amount spent (BAM)
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
147315858633088,Istinomjer,Istinomjer,≤100
104992122558073,Valter.Portal,Valter.Portal,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
102667249419191,GenChange,Arijana Trle,≤100
109652028193268,Revizije info,Revizije info,≤100
162926690478548,Oslobodjenje,Oslobodjenje,≤100
1508133079498226,Grad Živinice,Grad Živinice,≤100
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,≤100
103398605332895,Kreševski građanski pokret,These ads ran without a disclaimer,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
