Page ID,Page name,Disclaimer,Amount spent (ZAR)
6011868110,Democratic Alliance,Democratic Alliance,284
136956534616,Times LIVE,TimesLIVE,≤100
1742410059361710,AwakeMzansi,Awake Mzansi,≤100
195909420099,Solidariteit,Solidariteit,≤100
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
106247942465530,Ask SA,Freedom Advocacy Network,≤100
2145594122138312,Action Society,Action Society,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
478479492268974,Sunday Times ZA,Sunday Times,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
1442286572460668,Inside Education,Inside Education,≤100
119736861394881,Financial Mail,BusinessLIVE,≤100
102265308016316,Al Jama-ah,Al Jama-ah,≤100
629021617133721,Judges Matter,Judges Matter,≤100
115864538089777,Dear SA - Have Your Say,Dear S Africa,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
434577883273454,Sihle Zikalala,Sihle Zikalala,≤100
614441158766955,Vote Dr Sipho P. Malapane And The Independent Campaign 2024,Sipho Pienaar Malapane,≤100
103131862424141,IZWE LETHU PARTY,IZWE LETHU PARTY,≤100
153911331339003,ACDP Western Cape,African Christian Democratic Party,≤100
112413612104443,This is Finland,These ads ran without a disclaimer,≤100
