Page ID,Page name,Disclaimer,Amount spent (ZAR)
6011868110,Democratic Alliance,Democratic Alliance,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
229641360457150,Good Governance Africa,Good Governance Africa,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
794336640617861,Cyril Ramaphosa Foundation,Cyril Ramaphosa Foundation,≤100
115864538089777,Dear SA - Have Your Say,Dear S Africa,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
1621692424754301,Minderoo Foundation,These ads ran without a disclaimer,≤100
