Page ID,Page name,Disclaimer,Amount spent (NOK)
135843375926,UNICEF Norge,UNICEF Norge,847
106613969124,Norsk Folkehjelp,Norsk Folkehjelp,779
305434298719,Norges Bondelag,Norges Bondelag,320
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,269
102467489421629,Thilde Marie Børsum - Ordførerkandidat for Bærum Arbeiderparti,Bærum Arbeiderparti,264
20468812735,LO,LO,261
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,230
132368899297,Framtiden i våre hender,Framtiden i våre hender,193
171408368520,Norad,Norad,151
10953652930,Høyre,Høyre,150
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,121
2869351156469363,Tonje Lavik - FrP,Tonje Lavik,115
132368899297,Framtiden i våre hender,Framtiden i Våre Hender,≤100
109103902009501,Edvin Søvik - Ordførerkandidat for Ås Arbeiderparti,Edvin Søvik,≤100
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,≤100
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,≤100
300127442096,Norske Kvinners Sanitetsforening,Norske Kvinners Sanitetsforening,≤100
153623551395817,Lørenskog kommune,Gard Haglund,≤100
38552663951,Morgenbladet,Morgenbladet,≤100
129925163706887,Oslo Dokumentarkino (The Oslo Documentary Cinema),Oslo Dokumentarkino,≤100
117726821605303,PBL,Aurora Dyrnes,≤100
358935277575832,ACT Agency,ACT Agency AS,≤100
191041020931826,Gro Langdalen - Høyres ordførerkandidat i Rælingen,Rælingen Høyre,≤100
277788629092,Med Israel for fred (MIFF),Med Israel for fred (MIFF),≤100
140883578419,Flyktninghjelpen,Flyktninghjelpen,≤100
190614597633726,Bærum FrP,Bærum FrP,≤100
123441227861600,Rælingen Arbeiderparti,Rælingen Arbeiderparti,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge,≤100
289683304433819,Rælingen Høyre,Rælingen Høyre,≤100
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,≤100
173437119340296,Akershus Arbeiderparti,Akershus Arbeiderparti,≤100
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,≤100
2398568533531114,Velferdsmiks,NHO Geneo,≤100
798750773559841,Bufdir,"Barne-, ungdoms-, og familiedirektoratet",≤100
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,≤100
105939782037295,Altinget.no,Altinget AS,≤100
371106536283235,DAG OG TID,Dag og Tid AS,≤100
173034686082674,UiO - Det humanistiske fakultet,"Det humanistiske fakultet, Universitetet i Oslo",≤100
105616118716008,Nordre Aker FrP,Robin Bårdsen,≤100
39480396555,I Love Dogs.no,These ads ran without a disclaimer,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
187417144624729,Økologisk Norge,Økologisk Norge,≤100
53828343371,Epilepsiforbundet,Epilepsiforbundet,≤100
189429677833005,Lørenskog SV,Lørenskog Sosialistisk Venstreparti,≤100
102661254440027,Pårørendeaksjonen Moss - For en verdig alderdom,Pårørendeaksjonen Moss - For en verdig alderdom,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge SA,≤100
112828598803706,Lillestrøm Venstre,Lillestrøm Venstre,≤100
102040431616976,Beaufort Solutions,Beaufort Solutions,≤100
107028478959490,Troms SV,Rakel Hagen Olsen,≤100
119062344777724,Bjerke FrP,Bjerke FrP,≤100
54603926197,Finnmark SV,Troms og Finnmark SV,≤100
226417544192807,Tankesmien Agenda,Tankesmien Agenda,≤100
270746343377367,FLR,Fagforening for Luftfart og Reiseliv,≤100
111322125898812,Filter Nyheter,Filter Nyheter,≤100
291789484748906,Senter for hav og Arktis,Senter for hav og Arktis,≤100
112631767587663,Meninger24,Meninger24,≤100
101120862503880,VVS Norge Partner,These ads ran without a disclaimer,≤100
272225463439015,Margrethe Prahl Reusch - Venstre,Margrethe Prahl Reusch - Venstre,≤100
104701569617247,Arbeid & Inkludering,Arbeid & Inkludering,≤100
100885889429302,Verdinytt,Verdinytt AS,≤100
1496585820630164,Sarpsborg Høyre,Sarpsborg Høyre,≤100
102038156126862,Guro Brandshaug - Ordførerkandidat i Sør-Varanger,Guro Brandshaug - Ordførerkandidat i Sør-Varanger,≤100
105394561558230,Rødt Åsnes og Våler,Jannice Birkeland,≤100
103638585942638,Folkets Parti Kristiansand,Folkets parti Kristiansand,≤100
1629110813846272,Lånke Arbeiderlag,Bjørnar Strøm Larsen,≤100
126008427465390,Hamarregionen Utvikling,HAMARREGIONEN REISELIV OG UTVIKLING,≤100
101176682686881,Caldwell Hutchinson,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
108166048910328,Срочные Новости,These ads ran without a disclaimer,≤100
153063591397681,Amazon Web Services,These ads ran without a disclaimer,≤100
181890091876904,Medair,These ads ran without a disclaimer,≤100
102952309457793,History in Number,These ads ran without a disclaimer,≤100
105386342512879,Gorgeous pl5,These ads ran without a disclaimer,≤100
