Page ID,Page name,Disclaimer,Amount spent (FJD)
1743956595869001,Sitiveni 480 Rabuka,The Peoples Alliance,≤100
108993025227860,Bhavick Kapadia - Candidate 191 - NFP,Bhavick Kapadia,≤100
101911352706122,Manoa 454 Kamikamica,These ads ran without a disclaimer,≤100
373802769341908,Fijian Elections Office,Fijian Elections Office,≤100
110378568343831,Temalesi Rabalolo Dinati,Temalesi Rabalolo Dinati,≤100
200791327158338,Bill Gavoka,Viliame Rogoibulu Gavoka,≤100
101115795699266,Rinesh Sharma,Rinesh Sharma,≤100
128371938956830,Social Democratic Liberal Party,SODELPA,≤100
113451204686577,Vote 479 Filipe Tuisawau,Vote 479 Filipe Tuisawau,≤100
100933916035770,Mohammed R. Khan,Mohammed Rieaz Khan,≤100
