Page ID,Page name,Disclaimer,Amount spent (CAD)
106679019420477,Nova Scotia Teachers Union,Nova Scotia Teachers Union,394
161817467263,Nova Scotia Government,Government of Nova Scotia,128
5794733873,David Suzuki Foundation,David Suzuki Foundation,≤100
106432095003415,Our Nova Scotia RCMP,National Police Federation,≤100
186266941387011,BMO Financial Group,BMO Financial Group,≤100
1097840090260804,National Police Federation,National Police Federation,≤100
6319213302,Heart & Stroke,Heart & Stroke,≤100
367773226675582,The Home Depot,The Home Depot,≤100
249042335139282,BDC,BDC,≤100
184374514949415,Darren Fisher,Office of MP Darren Fisher,≤100
303473312998028,FedEx,FedEx,≤100
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,≤100
163336718421,PSAC - AFPC,PSAC - AFPC,≤100
261752512263,Canadian Red Cross,Canadian Red Cross,≤100
108210685656447,Today News,These ads ran without a disclaimer,≤100
262370800536,CanadaHelps,CanadaHelps,≤100
166673603350483,Nova Scotia PC Party,Twila Grosse - PC Candidate for Preston,≤100
367461053332566,Community-Based Research Centre - CBRC,Community-Based Research Centre,≤100
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,≤100
106265291831309,Unite for Change,Unite for Change,≤100
122317267509759,Carlo Simmons,Carlo Simmons,≤100
107385241806,Plan International Canada,Plan International Canada,≤100
202220023130891,Bell Canada,Bell Canada,≤100
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,≤100
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,≤100
1522162571382952,Oceana Canada,Oceana Canada,≤100
300803733315174,Canadian Roots Exchange - Échanges Racines Canadiennes,Canadian Roots Exchange,≤100
136079756439224,Nova Scotia Power,Nova Scotia Power,≤100
629756027442310,Kody Blois,Kody Blois,≤100
281999881613,World Vision Canada,World Vision Canada,≤100
123235041462,The Fraser Institute,Fraser Institute,≤100
19750184960,Greenpeace Canada,Greenpeace Canada,≤100
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,≤100
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,≤100
254245404682417,C.D. Howe Institute,C.D. Howe Institute,≤100
278075718909826,Aviva,Aviva,≤100
126625247383774,Export Development Canada - Exportation et développement Canada,Export Development Canada - EDC,≤100
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,≤100
115835521825983,UNHCR Canada,UNHCR Canada,≤100
35715544220,Stand.earth,Stand.earth,≤100
114849617772737,Care2 Canada,Press Pause Collective,≤100
169042736456594,All Out,ConnectAd,≤100
27234020592,UNICEF Canada,UNICEF Canada,≤100
228440567251132,CPA Canada,CPA Canada,≤100
266408097438964,Canadian Consumer Rewards Coalition,Canadian Consumer Rewards Coalition,≤100
1671097993122619,Children Believe,Children Believe,≤100
10633250963,Save the Children Canada,Save the Children Canada,≤100
658318450979357,Globe Content Studio,Globe Content Studio,≤100
100999094747422,Land Needs Guardians,Land Needs Guardians,≤100
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,≤100
180862678644381,Ontario NDP,Ontario NDP,≤100
26394435211,Canadian Cancer Society,Canadian Cancer Society,≤100
111020124362147,Annapolis Waterkeepers,Annapolis Waterkeepers,≤100
106764462731658,Honest Reporting Canada,Honest Reporting Canada,≤100
101898551911387,The Hub Canada,Hub Canada Media,≤100
425399447824959,The Templeton Prize,These ads ran without a disclaimer,≤100
102165119596955,Canadian Autistic Adult Needs Assessment Survey,These ads ran without a disclaimer,≤100
568938803293644,True North,True North,≤100
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,≤100
985797494956599,The News Forum,The News Forum,≤100
97884715512,Canadian Museum for Human Rights,Canadian Museum for Human Rights,≤100
98963682935,Canadian Feed The Children,Canadian Feed The Children,≤100
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,≤100
1919973584883295,The Maple,The Maple,≤100
136772905237,Historica Canada,Historica Canada,≤100
11974905918,World Accord,World Accord,≤100
52543970197,Environmental Defence Canada,Environmental Defence,≤100
243435756499271,Dan Mazier,Dan Mazier,≤100
172286182852008,Women of the Metis Nation - Les Femmes Michif Otipimisiwak,These ads ran without a disclaimer,≤100
420437455160941,Planet Friendly News,Planet Friendly News,≤100
111231197686977,The Breach,The Breach,≤100
121222984568561,Amnesty International Canada,Amnesty International Canada,≤100
139019864276,Oxfam Canada,Oxfam Canada,≤100
105288666168351,SOS Children's Villages Canada,SOS Children's Villages Canada,≤100
1589839557920915,National Disability Credit Alliance,National Disability Credit Alliance,≤100
428551390928740,Fondation Rideau Hall Foundation,Rideau Hall Foundation,≤100
105754167560390,Ekō Canada,Ekō,≤100
2349053895373277,Kyle Seeback,Kyle Seeback,≤100
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,≤100
243795232247,Mennonite Central Committee - MCC,Mennonite Central Committee - MCC,≤100
925033857594085,SureHealth Canada by GreenShield,SureHealth,≤100
392629388021829,Ally Global Foundation,Ally Global Foundation,≤100
599601796904723,Humane Society International/Canada,Humane Society International/Canada,≤100
1131266613640838,Municipality of the District of Lunenburg - MODL,Municipality of the District of Lunenburg,≤100
150294235064565,Allstate Canada,Allstate Canada,≤100
103655764654302,Indigenous Leadership Initiative,The Indigenous Leadership Initiative,≤100
630230954127159,Business Council of Alberta,Business Council of Alberta,≤100
728747700517089,Michael Barrett,Michael Barrett,≤100
184906186150,The Toronto Star,The Toronto Star,≤100
168889579973,Fondation David Suzuki,Fondation David Suzuki,≤100
842010632481715,National Observer,National Observer,≤100
104321259649840,CATIE,CATIE,≤100
656462304404326,Служба розшуку дітей,These ads ran without a disclaimer,≤100
171195311682401,ParentzTalk - Activities,These ads ran without a disclaimer,≤100
484865984976254,ClickCease by CHEQ,These ads ran without a disclaimer,≤100
1642929092406128,Knowable Magazine,These ads ran without a disclaimer,≤100
387943258431185,Keepers of the Water,Keepers of the Water,≤100
80851911931,Canadian Civil Liberties Association,Canadian Civil Liberties Association,≤100
49370559799,Ducks Unlimited Canada,Ducks Unlimited Canada,≤100
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100
49530722523,Ecojustice,Ecojustice,≤100
316302965122489,Clean Energy Canada,Clean Energy Canada,≤100
268400032839,Croix-Rouge canadienne,Croix-Rouge canadienne,≤100
134455149912301,Seva Canada,Seva Canada,≤100
1395790247377471,Canadian Shooting Sports Association,Canadian Shooting Sports Association,≤100
1538230646323033,SecondStreet.org,SecondStreet.org,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
306509560692,FRIENDS/Les Amis,FRIENDS of Canadian Broadcasting,≤100
101521614692017,Ditch Plastic Packaging,Hartmann North America,≤100
177872532253393,National Citizens Coalition,National Citizens Coalition,≤100
541315122557352,CODE NGO,CODE NGO,≤100
353695508437982,Oceans North,Oceans North,≤100
250592478295316,C2C Journal,C2C Journal,≤100
394745970602999,The Council of Canadians,The Council of Canadians,≤100
1344251769044889,BC Rental Project,BC Rental Project,≤100
109210999137883,Canada's History,Canada's History,≤100
154462904588700,Enbridge Gas,Enbridge Gas,≤100
53321777320,Coeur + AVC,Coeur + AVC,≤100
659297051382069,A Leaf,These ads ran without a disclaimer,≤100
1538081313097606,"Lynn Gehl, PhD - Algonquin Anishinaabe-Ikwe","Lynn Gehl, PhD - Algonquin Anishinaabe-Ikwe",≤100
116486331729420,350 Canada,350 Canada,≤100
159713615718,WWF-Canada,WWF-Canada,≤100
328482847550079,SaltWire.com,These ads ran without a disclaimer,≤100
39168823065,Sierra Club Canada Foundation,Sierra Club Canada Foundation,≤100
112183950454035,Feminine Riles,Feminine Riles,≤100
465152633548835,Generation Squeeze,Association for Generational Equity operating publicly as Generation Squeeze,≤100
190440300974434,Shannon Stubbs,Shannon Stubbs,≤100
