Page ID,Page name,Disclaimer,Amount spent (NZD)
337477311451,New Zealand Labour Party,NZ Parliamentary Service on behalf of New Zealand Labour Party,310
92043134118,ACT,the Parliamentary Service on behalf of ACT New Zealand,236
183355881680015,New Zealand National Party,New Zealand National Party,183
689146908145006,Free Speech Union,Free Speech Union,156
116362033529,Amnesty International Aotearoa New Zealand,Amnesty International Aotearoa New Zealand,135
123375421154267,Duncan Webb Labour MP for Christchurch Central,NZ Parliamentary Service on behalf of Duncan Webb MP,114
103881760966661,Gen Less,Energy Efficiency & Conservation Authority,≤100
11870725774,Greenpeace Aotearoa,Greenpeace NZ,≤100
110613705109260,Independent Electoral Review - He Arotake Pōtitanga Motuhake,Independent Electoral Review,≤100
106194579030381,Doctors Without Borders / Médecins Sans Frontières NZ,Doctors Without Borders / Médecins Sans Frontières NZ,≤100
173912362663564,Electoral Commission NZ,Electoral Commission NZ,≤100
424806334290059,New Zealand Taxpayers' Union,New Zealand Taxpayers' Union,≤100
104174354363267,Christopher Luxon,New Zealand National Party,≤100
37547788323,UNICEF Aotearoa,UNICEF Aotearoa,≤100
120703687692577,Mining Means Progress,Straterra Limited,≤100
684508498380306,Trees That Count,Trees That Count,≤100
201340000036663,Ashburton District Council,Ashburton District Council,≤100
564453323744421,TOP - The Opportunities Party,TOP - The Opportunities Party,≤100
341865911020,ASB Bank,ASB Bank Ltd,≤100
1281262645251755,Hobson's Pledge,Hobson's Pledge,≤100
10779081371,Green Party of Aotearoa New Zealand,The NZ Parliamentary Service on behalf of the Green Party,≤100
109190088664909,Hamish Campbell for Ilam,Hamish Campbell for Ilam,≤100
102354862041584,"It's time, Canterbury",Environment Canterbury,≤100
376006035816016,Storyworth,These ads ran without a disclaimer,≤100
175954932952,WWF New Zealand,WWF New Zealand,≤100
598197373553921,Tracey McLellan - MP for Banks Peninsula,"Tracey McLellan, Labour Candidate for Banks Peninsula",≤100
103503756036187,Housing Survey: Residential Choices and Constraints,The University of Waikato,≤100
19648092895,Tearfund New Zealand,Tearfund New Zealand,≤100
119798114390625,Tracy Summerfield for Wigram,Tracy Summerfield for Wigram,≤100
111518076963780,Nicola Grigg MP,Parliamentary Services NZ on behalf of Nicola Grigg MP,≤100
408747529491004,Department of Conservation,Department of Conservation,≤100
114961458268104,The Integrity Institute,The Integrity Institute,≤100
92043134118,ACT,ACT,≤100
149519831907669,Raf Manji,The Opportunities Party,≤100
114731636915763,Simon Court MP,the Parliamentary Service on behalf of ACT New Zealand,≤100
190710259099,New Zealand Geographic,These ads ran without a disclaimer,≤100
120007669392461,360 Aviation Group,These ads ran without a disclaimer,≤100
110974094005509,Nicole McKee MP,the Parliamentary Service on behalf of ACT New Zealand,≤100
104411054853609,Mark Cameron - ACT List MP,the Parliamentary Service on behalf of ACT New Zealand,≤100
23625700722,Oxfam,Oxfam Aotearoa,≤100
102690508206877,Chris Baillie MP,the Parliamentary Service on behalf of ACT New Zealand,≤100
100135495080458,Toni Severin MP,the Parliamentary Service on behalf of ACT New Zealand,≤100
110909661534199,The Common Room NZ,The Common Room NZ,≤100
104501819255827,Vanessa Weenink for Banks Peninsula,Vanessa Weenink for Banks Peninsula,≤100
123674487757196,New Zealand Nurses Organisation - NZNO,New Zealand Nurses Organisation - NZNO,≤100
185590638873,NZHL Home Loans / Insurance,NZHL Home Loans / Insurance,≤100
100432998389927,Karen Chhour MP,the Parliamentary Service on behalf of ACT New Zealand,≤100
101431535833189,Paul McMahon: Linwood Community Board Member,Paul McMahon: Linwood Community Board Member,≤100
112431991697294,Animal Justice Party Aotearoa NZ,Animal Justice Party Aotearoa NZ,≤100
196967540964595,Mindful Money,Mindful Money,≤100
117930708298273,Hamilton City Council,Hamilton City Council,≤100
149919531786213,Right to Life New Zealand,Right to Life New Zealand,≤100
74410368422,Mental Health Foundation of New Zealand,Mental Health Foundation,≤100
203953359629611,Voice For Life,Voice for Life,≤100
451936698281378,Cancer Society of Otago & Southland,Cancer Society Otago & Southland Division,≤100
100432998389927,Karen Chhour MP,ACT,≤100
109145321007464,Groundswell NZ,Groundswell NZ,≤100
105681068874945,Ag Matters,New Zealand Agricultural Greenhouse Gas Research Centre,≤100
110077017479600,One Sun in the Sky,One Sun in the Sky,≤100
109844788539271,Environmental Accounting Services,Environmental Accounting Services,≤100
83022598290,Trade Aid New Zealand,Trade Aid New Zealand,≤100
101834344920077,It's in the Ballot,"Sam Somers, Producer of It's in the Ballot",≤100
107777965524870,Frances Hughes for Mana,New Zealand National Party (Mana Electorate),≤100
1855579981334237,RISE: Respect Inspire Support Empower,These ads ran without a disclaimer,≤100
157136240296,Marie Claire UK,These ads ran without a disclaimer,≤100
102998939765184,Persian bms,These ads ran without a disclaimer,≤100
101853479470366,Weregreenly,These ads ran without a disclaimer,≤100
947909195270319,Mainstreet Australia,These ads ran without a disclaimer,≤100
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100
101351691906645,The Primary Market - News,These ads ran without a disclaimer,≤100
107392108770132,Daily Countdown,These ads ran without a disclaimer,≤100
608578919186659,World Vision International,These ads ran without a disclaimer,≤100
217519028785017,Nature Research Custom Media,These ads ran without a disclaimer,≤100
