Page ID,Page name,Disclaimer,Amount spent (BAM)
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
109652028193268,Revizije info,Revizije info,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
147315858633088,Istinomjer,Istinomjer,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
162926690478548,Oslobodjenje,Oslobodjenje,≤100
104992122558073,Valter.Portal,Valter.Portal,≤100
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
163322863710900,Evropska unija u Bosni i Hercegovini,Ured spec. predstavnika,≤100
326185650853734,Zukan Helez,OO SDP BiH Bugojno,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
113041725065224,Pravna sigurnost je zakon / Правна сигурност је закон,OHR,≤100
102667249419191,GenChange,GenChange,≤100
120481645203741,Dragan Bursać,Dragan Bursać,≤100
2023352371243716,Vildana Bešlija,Vildana Bešlija,≤100
133098676736404,Ramo Isak,DEVDOT S.D.,≤100
110760128594320,Muhamed Hasanović,Muhamed Hasanović,≤100
100733242113653,Porodice 3 plus,Porodice 3 plus,≤100
107180018752825,Dženan Kapić,Ogalsi Svijettehnike,≤100
399785513413851,Naša stranka Novo Sarajevo,Naša stranka Novo Sarajevo,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
753740401664958,Omer Berbić - vijećnik u GV Tuzla,Omer Berbić - vijećnik u GV Tuzla,≤100
85069283164,Admir Čavalić,Admir Čavalić,≤100
968019463291751,Arnel Isak,DEV DOT,≤100
106937677998846,Pravo na lijek,Pravo na lijek,≤100
263396107142816,Transparency International Bosna i Hercegovina,Transparency International in BiH,≤100
143699145672946,Centri civilnih inicijativa (CCI),Centri Civilnih Inicijativa,≤100
104089781069241,infoVeza,"Udruženje građana ""ReStart Srpska""",≤100
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),≤100
719648724875491,princip.news,princip.news,≤100
163080080447411,Републичка странка Српске,Републичка странка Српске,≤100
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,≤100
105412905161989,Огњен Бодирога,Огњен Бодирога,≤100
106394951158417,Nevzudin Brljak - Autor,These ads ran without a disclaimer,≤100
100187109256916,Ustajte Diskriminisani,Ustajte Diskriminisani,≤100
