Page ID,Page name,Disclaimer,Amount spent (ZAR)
379138726819,ACDP,ACDP,≤100
478479492268974,Sunday Times ZA,Sunday Times,≤100
195909420099,Solidariteit,Solidariteit,≤100
2145594122138312,Action Society,Action Society,≤100
110901495091012,Crtve Development,Crtve Development with Facebook Ad credits,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
115864538089777,Dear SA - Have Your Say,Dear S Africa,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
136956534616,Times LIVE,TimesLIVE,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
104050689270424,Liberty & Justice,These ads ran without a disclaimer,≤100
