Page ID,Page name,Disclaimer,Amount spent (NOK)
14095969045,Fremskrittspartiet,Fremskrittspartiet,≤100
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,≤100
135843375926,UNICEF Norge,UNICEF Norge,≤100
33483001033,SV - Sosialistisk Venstreparti,SV - Sosialistisk Venstreparti,≤100
111345183340,Fagforbundet,Fagforbundet,≤100
189828081044593,MS-forbundet i Norge,Ms-forbundet,≤100
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,≤100
234659001772,Arbeiderpartiet,Arbeiderpartiet,≤100
10254410675,Venstre,Venstre,≤100
224521330900884,Bergen SV,Bergen SV,≤100
20468812735,LO,LO,≤100
275389322558295,LOs sommerpatrulje,LO,≤100
128566103830426,Civita,Civita AS,≤100
6458652543,WWF Verdens naturfond,Stiftelse WWF Verdens naturfond,≤100
298357179829,Trondheim Arbeiderparti,Trondheim Arbeiderparti,≤100
132368899297,Framtiden i våre hender,Framtiden i våre hender,≤100
189196954458836,Klar Tale,Stiftelsen Klar Tale,≤100
11526489541,Senterpartiet,Senterpartiet,≤100
126448980866214,Klassekampen,Klassekampen,≤100
10953652930,Høyre,Høyre,≤100
