Page ID,Page name,Disclaimer,Amount spent (CZK)
102845669064210,Danuše Nerudová,Danuše Nerudová,7959
109882498582200,Osvoboďme Česko,Budovy21 s.r.o.,6765
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,4488
214827221987263,Andrej Babiš,ANO,2806
102389958091735,Generál Pavel,Petr Pavel,2724
197010357446014,Ondřej Prokop,Ondrej Prokop,1663
157741540937883,CARE Česká republika,CARE Česká republika,1613
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,1554
384187235387895,Alena Schillerová,ANO,1505
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,1408
206273352289,ADRA CZ,"ADRA, o.p.s.",1288
107898832590939,European Commission,European Commission,974
1469427909957890,Reportér magazín,Reportér magazín,852
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,780
55408246161,Amnesty International ČR,Amnesty International ČR,731
101500052256658,Jan Kavalírek / zastupitel Praha 5,Jan Kavalírek,674
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",643
178362315106,European Parliament,European Parliament,571
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,533
579215965436046,JSNS,"Člověk v tísni, o.p.s.",425
52479821102,Týdeník Respekt,Týdeník Respekt,402
711658465662315,XTV,XTV,321
137778619615350,Voyo.cz,TV Nova s. r. o.,318
102403989060169,Pomáháme Ukrajině,DFMG,316
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,306
317398901621260,IKEA,IKEA,294
356448681873897,Mikuláš Peksa,Mikuláš Peksa,285
102907672280977,Co bude dál?_________,NFSix.org,281
111210916534,Příběhy bezpráví,"Člověk v tísni, o.p.s.",278
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,270
397919187215,Evropská komise v ČR,Evropská komise v ČR,259
107563435940797,Skanska v ČR a SR,Skanska,252
236211929833146,Tomáš Zima,Společnost ZFP s.r.o.,232
102090718057736,Urban Developers and Investors,"Urban Developers and Investors, s.r.o.",225
154228456802,Divadlo v Řeznické,"Divadlo v Řeznické, o. p. s.",224
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,216
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",181
203656526961481,Klub Pátečníků - patecnici.cz,Klub Pátečníků s.r.o.,180
107341405343516,Mise Ukrajina,Mise Ukrajina,180
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,171
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",170
194467420912201,Já volím děti,Já volím děti,170
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,167
137301989386,Aktuálně.cz,Aktuálně.cz,162
484488185462817,mujRozhlas,Český rozhlas,146
117823623864,Transparency International ČR,Transparency International ČR,142
280411075659709,Marek Hilšer,Marek Hilšer,142
424114981002397,Český rozhlas Plus,Český rozhlas,137
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,127
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,123
257529307701966,Jiří Pospíšil,TOP 09,120
287724754662359,HateFree Culture,HateFree Culture,115
129090553792481,Central Group,CENTRAL GROUP a.s.,111
284944781875,EURACTIV.cz,EURACTIV.cz,110
110126994551913,PRAHA 5 SOBĚ,Praha 5 sobě,107
113339861358429,Vojtěch Mikoláš - místostarosta Prahy 12,Vojtěch Mikoláš,105
415472211798220,Prague Pride,Prague Pride z.s.,≤100
109664387308142,Poradna pro obce,KVB advokátní kancelář s.r.o.,≤100
104122031809048,Čtvrťák,"Spolek pro rozvoj lokálních médií a komunit, z.s.",≤100
191504709024,Museum Kampa,Museum Kampa,≤100
139379141293,Paměť národa,"Post Bellum, z.ú.",≤100
183947234987295,Ministerstvo vnitra,Ministerstvo vnitra ČR,≤100
251656685576,KDU-ČSL,KDU-ČSL,≤100
356451014434612,Marian Jurečka,KDU-ČSL,≤100
1934837773438430,Pavel Fischer,Pavel Fischer,≤100
453697017993990,Aspen Institute Central Europe,Aspen Institute Central Europe,≤100
236211929833146,Tomáš Zima,ZFP s.r.o,≤100
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,≤100
123761161006567,Radek Vondra - Sousedé pro Prahu 14,PRodukujeme s. r. o.,≤100
271054846258904,Praha 3,Městská část Praha 3,≤100
578342809023884,Jsme fér,Prague Pride,≤100
235595916475660,"Prev-Centrum, z.ú.","Prev-Centrum, z.ú.",≤100
117111438676,Asociace společenské odpovědnosti,Asociace společenské odpovědnosti,≤100
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Jana Skopalíková,≤100
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,≤100
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,≤100
2156599824411421,"Vojtěch Kos, starosta Prahy 12",Vojtěch Kos,≤100
419916784781866,Společnost E,"Společnost E / Czech Epilepsy Association, z. s.",≤100
189520154425807,Ministerstvo životního prostředí,Ministerstvo životního prostředí,≤100
223117541065037,Karel Janeček,Karel Janeček,≤100
101720818609240,Vlna pomoci,"Vlna pomoci, z. s.",≤100
252707698079845,Pavel Dobeš • místostarosta Prahy 3,Starostové a nezávislí,≤100
58864692622,Český rozhlas Vltava,Český rozhlas,≤100
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",≤100
609246842426009,Rekonstrukce státu,Rekonstrukce státu,≤100
227416910669250,Komora daňových poradců ČR,Komora daňových poradců ČR,≤100
693725074166331,Naše zdravotnictví,Naše zdravotnictví,≤100
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
123858471641,iROZHLAS.cz,Český rozhlas,≤100
103455699228513,Black Dales,These ads ran without a disclaimer,≤100
460558621177512,Zálohujme.cz,Zálohujme,≤100
103886325707668,Regulace nikotinu,Regulace nikotinu,≤100
288004403427,"Friedrich-Ebert-Stiftung, zastoupení v České republice","Friedrich-Ebert-Stiftung, zastoupení v České republice",≤100
171936526824,EKONOM.cz,"Economia, a.s.",≤100
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,≤100
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,≤100
125830487980906,Solární asociace,Solární asociace,≤100
113437470509035,Za normální svět,Karel Halačka,≤100
155406703122,Arnika,Arnika,≤100
54779960819,United Nations,United Nations with Facebook Ad Credits,≤100
1083597725003936,Neste,These ads ran without a disclaimer,≤100
1884351984998208,Klíče pro demokracii,Lukáš Hulínský,≤100
103123001340222,Jiří Hlavenka,"Jiří Hlavenka, radní Jihomoravského kraje",≤100
378827025796132,Peak.cz,Peak.cz,≤100
102552295886205,Richard Loskot - kandidát na primátora Ústí nad Labem,Richard Loskot,≤100
265056436921261,NOVÁ SÍŤ,Nová síť z.s.,≤100
146556772110539,Security Outlines,Security Outlines,≤100
165886233425367,Univerzita Pardubice,Tom Pavlica,≤100
915185168618361,N&N Czech-German magazine,"BLACK SWAN MEDIA, s.r.o",≤100
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",≤100
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,≤100
1661722700752175,Univerzita Hradec Králové,Univerzita Hradec Králové,≤100
1804488279795843,Nakladatelství Zeď,These ads ran without a disclaimer,≤100
109023294165723,Zápecová Financial: Vaše externí účetní oddělení,These ads ran without a disclaimer,≤100
201535993705342,Radim Sršeň,Radim Sršeň,≤100
174546373212301,Jsme Levice,Levice,≤100
240084269372558,Můžeš,Spolek přátel Konta Bariéry,≤100
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100
133508726699512,Finmag,"NextPage Media, s.r.o.",≤100
104356625712170,Vraťme prostor přírodě,Vítězslav Lamač,≤100
267806570729225,Národní Noviny,Hrubon Rudolf,≤100
317530692148022,Evropa v datech,Evropa v datech,≤100
479728625867303,Divadlo RePublika,Divadlo RePublika,≤100
1679933578972328,Obnovitelně.cz,Obnovitelně.cz,≤100
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,≤100
156028837846667,THERMOSERVIS - TRANSPORT s.r.o.,THERMOSERVIS - TRANSPORT s.r.o.,≤100
586817644761028,Vladimír Balaš,STAN,≤100
109071351586518,Jiří Navrátil,Jiří Navrátil,≤100
421423394666782,Aleš Dufek,KDU-ČSL,≤100
310744935780286,Petr Veselka-starosta MOaP,Petr Veselka,≤100
321762510282,Michal Kučera,Michal Kučera,≤100
142103265867263,Prochytrehlavicky.cz,Vydavatelství Babyonline,≤100
124596689571,Radio Wave,These ads ran without a disclaimer,≤100
113444010100089,Stařec na chmelu,These ads ran without a disclaimer,≤100
101272355932525,"PhDr. Igor Hendrych, PhD.",Igor Hendrych,≤100
1900532106849242,Institut H21,Institute H21,≤100
313290552179385,Lesensky.cz,These ads ran without a disclaimer,≤100
135248715455,Praha 10,Praha 10,≤100
