Page ID,Page name,Disclaimer,Amount spent (AUD)
1449964695240375,Ethiopiaid Australia,Ethiopiaid Australia,≤100
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,≤100
345960425540557,The Climate Council,The Climate Council,≤100
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,≤100
316480331783930,Australian Unions,Australian Unions,≤100
532962446729390,Australian Families,Department of Social Services,≤100
494820897261439,Bank Australia,Bank Australia,≤100
447447719391089,Health Care Providers Association,Health Care Providers Association,≤100
102329728050606,Yes23,Yes23,≤100
1718340018404039,SBS On Demand,SBS On Demand,≤100
12173141558,Amanda Rishworth MP,Amanda Rishworth MP,≤100
8422338499,The Wilderness Society,The Wilderness Society,≤100
108381455902627,Australian Christian Lobby,Australian Christian Lobby,≤100
331204223675563,United Australia Party,United Australia Party,≤100
166663303514630,Musicians Australia,Musicians Australia,≤100
207984645959183,Shooters Fishers and Farmers Party,Shooters Fishers and Farmers Party,≤100
50461955643,UNSW,UNSW Sydney,≤100
101791315693,Destiny Rescue,Destiny Rescue,≤100
