Page ID,Page name,Disclaimer,Amount spent (NOK)
135843375926,UNICEF Norge,UNICEF Norge,338
107005018213171,Heia Nord-Norge,Heia Nord-Norge AS,278
371106536283235,DAG OG TID,Dag og Tid AS,253
234659001772,Arbeiderpartiet,Arbeiderpartiet,228
143787579017708,Bodø Høyre,Bodø Høyre,≤100
329095637110085,FRANTZ AS,Frantz as,≤100
132368899297,Framtiden i våre hender,Framtiden i våre hender,≤100
134531249931603,Troms og Finnmark fylkeskommune,Troms og Finnmark fylkeskommune,≤100
100588890043714,Bodø FrP,Ingunn Skogmo Nordvang,≤100
176370189723,SOR,Stiftelsen SOR,≤100
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,≤100
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,≤100
11526489541,Senterpartiet,Senterpartiet,≤100
20468812735,LO,LO,≤100
10953652930,Høyre,Høyre,≤100
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,≤100
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,≤100
106613969124,Norsk Folkehjelp,Norsk Folkehjelp,≤100
157803497575876,NHO Reiseliv,NHO Reiseliv,≤100
102203325950193,Ingvild Lemme Kristiansen,Stendi,≤100
116972608335219,Naturvernforbundet,Naturvernforbundet,≤100
113006005045036,Attack konferansen,Attack konferansen,≤100
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,≤100
2398568533531114,Velferdsmiks,NHO Geneo,≤100
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,≤100
162779380400712,Nansen Fredssenter,Nansen Fredssenter,≤100
291789484748906,Senter for hav og Arktis,Senter for hav og Arktis,≤100
120374971332864,Kagge Forlag,Kagge Forlag,≤100
123288564086337,Business Lite,These ads ran without a disclaimer,≤100
1878112455548367,Utøya - Et sted som engasjerer,Utøya AS,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge,≤100
189828081044593,MS-forbundet i Norge,Ms-forbundet,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge SA,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
156202914404133,Minerva,Mediehuset Minerva,≤100
102040431616976,Beaufort Solutions,Beaufort Solutions,≤100
120815981305897,KS Kommunesektorens organisasjon,KS Kommunesektorens organisasjon,≤100
103642311168469,Børre St. Børresen - samfunnsengasjert,Open-eye-Open-mind,≤100
112631767587663,Meninger24,Meninger24,≤100
105939782037295,Altinget.no,Altinget AS,≤100
1374337129548933,Bremanger Arbeidarparti,Bremanger Arbeidarparti,≤100
115337815202380,Birkenes Høyre,Birkenes Høyre,≤100
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,≤100
307525272933,Humanist forlag,Humanist forlag,≤100
191041020931826,Gro Langdalen - Høyres ordførerkandidat i Rælingen,Rælingen Høyre,≤100
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,≤100
91007335905,Aurskog-Høland Arbeiderparti,Steinar Ottesen,≤100
295778727799101,Lillestrøm SV,Jørgen Hammer Skogan,≤100
1629110813846272,Lånke Arbeiderlag,Bjørnar Strøm Larsen,≤100
544509242351729,Felleslista Færder Rødt/SV,Felleslista Færder Rødt/SV,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
357045667965,Oslo Freedom Forum,These ads ran without a disclaimer,≤100
