Page ID,Page name,Disclaimer,Amount spent (ILS)
103907495935157,צו חירום,צו חירום,1018
401687276639883,רז קינסטליך - ראש עיריית ראשון לציון,רז קינסטליך - ראש עיריית ראשון לציון,809
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,586
103428925850338,אבי סלמה - נתניה,Avi Slama,506
325048350950892,רמי גרינברג,עיריית פתח תקוה,390
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,324
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",295
106136394376777,Idan Yakov,Rama Yarimi,269
255711108458103,אני אשה أنا امرأة,אני אשה أنا امرأة,246
411177009409267,ענת זנזורי,ענת זנזורי,230
104743111658191,Ron Ben Shushan,רון בן שושן,221
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,218
1416098465325051,ליברל - Liberal,ליברל - Liberal,210
1372218169585611,"איתי מתיתיהו - סגן ראש עיריית ראשון לציון, מחזיק תיק הצעירים והנוער",Itay Matityahu,200
468634849844348,עיריית אור יהודה,עיריית אור יהודה,185
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,162
103183301914371,כוח של אמא,Nataly Milner,158
204780362875106,מקור ראשון,מקור ראשון,158
604890186681585,מור ויצמן,Mor Weitzman,146
340376237396,מחוז תל אביב - לשכת עורכי הדין בישראל,מחוז תל אביב - לשכת עורכי הדין בישראל,137
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,137
104222621115858,הביטחוניסטים,הביטחוניסטים,127
107796574338168,אמיר ברוט,אמיר ברוט,126
256244498134186,אגף הביטחון - משרד ראש הממשלה,אגף הביטחון - משרד ראש הממשלה,125
113065595006048,ענת כינורי לראשות העיר חולון 2023,ענת כנורי,123
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",119
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,118
1508923232754893,מועצה אזורית שומרון,מועצה אזורית שומרון,115
206692749419285,עיריית ראשון לציון,Debby&Ron LTD,106
544585708962925,עיריית לוד,עיריית לוד,≤100
1913755198907011,"המרכז הרפואי לטיפול בהשמנה - ד""ר רז",המרכז הרפואי לטיפול בהשמנה,≤100
104015018553973,The Genesis Prize - פרס בראשית,Genesis Prize Foundation,≤100
124333777706475,עיריית רמלה,עיריית רמלה - העמוד הרשמי,≤100
116311335054069,My Israel | ישראל שלי,My Israel | ישראל שלי,≤100
767262423350854,פורום הדיור הציבורי,Danny Gigi,≤100
108760035823125,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,≤100
94258847306,האגודה לזכויות האזרח בישראל,האגודה לזכויות האזרח בישראל,≤100
1073548259341247,לובי 99,לובי 99,≤100
100301088671913,Tal Hershkovitz,Tal Hershkovitz,≤100
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,≤100
371986449521679,הקרן למורשת הכותל המערבי,Tal Sanderoni,≤100
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,≤100
251119721945461,אופיר סופר - Ofir Sofer,"ח""כ אופיר סופר",≤100
303720457847,לשכת רואי חשבון בישראל,לשכת רואי חשבון בישראל,≤100
172654247853282,Shenhav musanbar,Shenhav Musanbar,≤100
361464970647064,זהר בלום,זהר בלום,≤100
108787681841168,רישיון נשק בקליק,Michael Michel Levi,≤100
161096657252221,שוברים שתיקה,שוברים שתיקה,≤100
121181764576038,ORT Israel - אורט ישראל,ORT Israel - אורט ישראל,≤100
340069009019,ice אייס,ice אייס,≤100
472693929419351,עיריית כפר יונה,עיריית כפר יונה,≤100
877405719007268,מכון ארגמן ללימודים שמרניים,מכון ארגמן,≤100
622545034511462,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,נשים עושות שלום - نساء يصنعن السلام  - Women Wage Peace,≤100
390078575091,"עמותת בית חם - לטיפול, שיקום ושילוב משמעותי בקהילה",בית חם,≤100
885381241499674,Qualita,Qualita,≤100
100849682799685,לתינוק הקטן,Omri Saada,≤100
134252303927914,Майкл Мур - מייקל מור,Майкл Мур - מייקל מור,≤100
197861515565,שתיל - شتيل - Shatil,שתיל - Shatil,≤100
1971468032937556,פורום בוחרים בחיים,פורום בוחרים בחיים,≤100
1392138171047822,"ארגון נכי צה""ל","ארגון נכי צה""ל",≤100
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,≤100
503274483198404,לינק Link 20 - התנועה לקידום צעירים עם מוגבלות,לינק Link 20 - התנועה לקידום צעירים עם מוגבלות,≤100
193264714026809,Emunah אמונה,ארגון אמונה,≤100
519587265446919,יוראי להב הרצנו - Yorai Lahav Hertzanu,Yorai Lahav Hertzanu,≤100
213801788683219,עיריית ראש העין,עיריית ראש העין,≤100
1619338854980208,יוסי דגן,המועצה האיזורית שומרון,≤100
2397304340492953,מטה הבטיחות בענף הבנייה,הקרן לעידוד ולפיתוח ענף הבנייה,≤100
112910535448250,תנועת רגבים,תנועת רגבים,≤100
655073717925481,קרן ברל כצנלסון,קרן ברל כצנלסון,≤100
174138752627879,עצומה,עצומה,≤100
1546772755634761,עמותת  מִפרקים צעירים - Mifrakim Tzeirim association,עמותת מפרקים צעירים,≤100
221429664638160,קדמה,קדמה,≤100
33942762466,Shalom Hartman Institute מכון שלום הרטמן,Shalom Hartman Institute - מכון שלום הרטמן,≤100
1160881603976024,מס אמת לרכב עבודה,מס אמת לרכב עבודה,≤100
250947744954005,התנועה הקיבוצית,התנועה הקיבוצית,≤100
151429721541665,Dan Illouz -  דן אילוז,Dan Illouz -  דן אילוז,≤100
174270389949755,ישראל גנץ - Israel Ganz,מועצת בנימין,≤100
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,≤100
102668075081968,"Фонд премии ""Генезис""","Фонд премии ""Генезис""",≤100
421210797920379,מועצה אזורית בנימין,מועצה אזורית בנימין,≤100
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,≤100
386001744772337,Michal Biran | מיכל בירן,Michal Biran | מיכל בירן,≤100
103185328887035,דניאל ליזרוביץ',דניאל ליזרוביץ,≤100
100978407934166,תנועה ישראלית,Israeli Movement,≤100
160178307760913,מחזקים,מחזקים,≤100
554308731366675,محامون من أجل إدارة سليمة - Lawyers for Good Governance,محامون من أجل إدارة سليمة - Lawyers for Good Governance,≤100
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,≤100
102983604572708,איטל בציר אלשיך Ital Batzir Alsheh - חברת מועצת העיר רחובות,איטל בציר אלשיך,≤100
698427173532872,חופות - מבית השגחה פרטית,חופות,≤100
1616620351898508,Адвокат Варша • Иммиграция • Рабочая виза в Израиле • Воссоединение семьи,"משרד עו""ד תומר ורשה",≤100
304921469636475,סיכוי-אופוק سيكوي-أفق,עמותת סיכוי-אופוק,≤100
158195257562237,מיכאל לייטמן,"בני ברוך קבלה לעם ע""ר",≤100
103851895179872,אמהות לביאות,Nataly Milner,≤100
205153712969285,מרצ רמת גן,מרצ רמת גן,≤100
111177802287614,Begin Center | מרכז מורשת מנחם בגין,Begin Center | מרכז מורשת מנחם בגין,≤100
1822651321364643,121 - מנוע לשינוי חברתי,121 - מנוע לשינוי חברתי,≤100
101321749348491,אליהו רביבו Eliyahu Revivo,אליהו רביבו Eliyahu Revivo,≤100
331531237208747,מועצה אזורית גוש עציון,מועצה אזורית גוש עציון,≤100
100980849562500,Guy Naveh,Guy Naveh,≤100
1514952655390958,משרד תומר ורשה - עורכי דין • הגירה והסדרת מעמד • אשרות בישראל • זכויות אדם,"משרד עו""ד תומר ורשה",≤100
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,≤100
599453993544831,نساء ضد العنف  Women Against Violence,Women Against Violence,≤100
