Page ID,Page name,Disclaimer,Amount spent (ILS)
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,1020
107476928307805,אשדודי - יש לנו חדשות בשבילך,אשדודי - יש לנו חדשות בשבילך,907
104251724737393,בונות אלטרנטיבה,בונות אלטרנטיבה,756
536794249813012,תומר גלאם - Tomer Glam,עיריית אשקלון,375
1510157982620509,הלן גלבר - Helen Gelber,הלן גלבר - Helen Gelber,334
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,334
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,320
546024288762312,"ד""ר יחיאל לסרי","ד""ר יחיאל לסרי",296
141721971504,Histadrut - ההסתדרות החדשה,Ricki Bar,230
121022057648728,"עו""ד דורון ברזילי - לראשות לשכת עורכי הדין",דורון ברזילי,178
870129976377104,הנהגת ההורים הארצית,דרור יהב,144
114429471587565,"יפעת עובדיה לוסקי - יו""ר קק""ל",קרן קימת לישראל,143
178433145502975,Avigdor Liberman - אביגדור ליברמן,Avigdor Liberman - אביגדור ליברמן,134
127757258676,קשת 12,These ads ran without a disclaimer,132
390174201363786,Eli Nacht • אלי נכט,Eli Nacht • אלי נכט,117
204780362875106,מקור ראשון,מקור ראשון,108
493870400705407,"ד""ר אלי לחמני","ד""ר אלי לחמני",108
113789568181754,איציק דנינו - ראש העיר שלי,איציק דנינו,101
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,≤100
103085619445870,ניר ברכיה משרד עורכי דין,Michael Michel Levi,≤100
1678753882355496,איגוד העובדות והעובדים הסוציאליים,איגוד העובדות והעובדים הסוציאליים,≤100
162089177185799,התאחדות התעשיינים בישראל,התאחדות התעשיינים בישראל,≤100
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",≤100
107217383988190,מגזין אפוק,Epoch Magazine,≤100
166161510917460,קובי אביבי ראש המועצה האזורית באר טוביה,קובי אביבי ראש המועצה האזורית באר טוביה,≤100
117177111377152,Шломи Лахьяни,שלומי לחיאני,≤100
102865851897315,ארגון חברות הניקיון בישראל,ארגון חברות הניקיון בישראל,≤100
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",≤100
189208555041327,המיזם למיגור העישון,המיזם למיגור העישון בישראל,≤100
105696862520128,עדי נאמן לראשות באר טוביה,עדי נאמן,≤100
756869797682674,Свободный Израиль,Свободный Израиль,≤100
140133916157913,תיקון - להתחדשות החברה והתרבות בישראל,תנועת תיקון,≤100
108787681841168,רישיון נשק בקליק,Michael Michel Levi,≤100
371986449521679,הקרן למורשת הכותל המערבי,Tal Sanderoni,≤100
564755520233941,משרד מבקר המדינה ונציב תלונות הציבור,משרד מבקר המדינה ונציב תלונות הציבור,≤100
33942762466,Shalom Hartman Institute מכון שלום הרטמן,Shalom Hartman Institute - מכון שלום הרטמן,≤100
153991671307861,אישה לאישה - למען נשים נפגעות אלימות וילדיהן,אישה לאישה - למען נשים נפגעות אלימות וילדיהן,≤100
1034509719896684,המכון החרדי למחקרי מדיניות,מכון החרדי למחקרי מדיניות,≤100
112102128546888,בן כהן - לראשות מועצת באר טוביה,Ben Cohen,≤100
1824323844461002,יקיר שינדלר,יקיר שינדלר,≤100
604890186681585,מור ויצמן,Mor Weitzman,≤100
224993517556428,Da'am Party - מפלגת דעם - حزب دعم,Da'am Party - מפלגת דעם - حزب دعم,≤100
1144380385572477,ג.ג מערכות מיגון,These ads ran without a disclaimer,≤100
110917020553426,Ari Shavit - ארי שביט,Ari Shavit - ארי שביט,≤100
632806616739261,איציק רוכברגר 2023,איציק רוכברגר 2023,≤100
114630296604026,"Davar - Workers, Society and Economy in Israel",דבר העובדים בארץ ישראל,≤100
1616620351898508,Адвокат Варша • Иммиграция • Рабочая виза в Израиле • Воссоединение семьи,"משרד עו""ד תומר ורשה",≤100
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,≤100
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,≤100
113469085034295,בחירות 360 - ניהול קמפיינים לבחירות,בחירות 360 - ניהול קמפיינים לבחירות,≤100
103851895179872,אמהות לביאות,Nataly Milner,≤100
107864540916006,אורן סרויה,אורן סרויה,≤100
221429664638160,קדמה,קדמה,≤100
378985879235977,ערן דורון- Eran Doron,ערן דורון- Eran Doron,≤100
128753804569169,"עו""ד רחל פרץ גלם","עו""ד רחל פרץ גלם",≤100
100978407934166,תנועה ישראלית,Israeli Movement,≤100
