Page ID,Page name,Disclaimer,Amount spent (PLN)
149388985089327,L'Oréal Paris,L’Oreal Polska Sp z o.o.,≤100
178362315106,European Parliament,European Parliament,≤100
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),≤100
100947022065093,Okresowa Koalicja,Okresowa Koalicja,≤100
100539463843764,Klaster Innowacji Społecznych,Klaster Innowacji Społecznych,≤100
1493760307522390,CityFit,CityFit,≤100
57544755889,Amnesty International Polska,Amnesty International Polska,≤100
1683534065241470,OKO.press,OKO.press,≤100
1995837980692090,Forum Przyszłości Kultury,Teatr Powszechny w Warszawie,≤100
406758116099067,Fundacja Kasisi,Fundacja Kasisi,≤100
111275624780972,Erase Indifference,Erase Indifference,≤100
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,≤100
176114889652,Kancelaria Premiera,Kancelaria Premiera,≤100
104873974773853,rePETujemy,Repetujemy,≤100
283996612400,Fundacja Nasza Ziemia,Fundacja Nasza Ziemia,≤100
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,≤100
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,≤100
513969188677442,Compassion Polska,Compassion Polska,≤100
142614625077,WWF Polska,WWF Polska,≤100
1425264934431305,Polski Instytut Księgowości,Polski Instytut Księgowości,≤100
292514454554454,Cartrack Polska,Cartrack Polska,≤100
832320483579139,Vestra,Vestra,≤100
107010907929210,Praca w Allegro,Allegro,≤100
1437227889827328,Fundacja Dobrych Inicjatyw,Fundacja Dobrych Inicjatyw,≤100
1181684038602267,Niepodległa,"BIURO PROGRAMU ""NIEPODLEGŁA""",≤100
173043619501435,"Pomorski Ośrodek Rehabilitacji Dzikich Zwierząt ""Ostoja""","Pomorski Ośrodek Rehabilitacji Dzikich Zwierząt ""Ostoja""",≤100
1531160263787101,Fundacja HerStory,Fundacja HerStory,≤100
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,≤100
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,≤100
104880819165085,kinga_kornelia,These ads ran without a disclaimer,≤100
339855706171439,Dobra Fabryka,Dobra Fabryka,≤100
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,≤100
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,≤100
143951191449,Profinfo.pl,Wolters Kluwer PL,≤100
114453729684,gazetaprawna.pl,gazetaprawna.pl,≤100
1914501645469702,Otwarta Przestrzeń - centrum terapii,Fundacja Instytut Otwarta Przestrzeń,≤100
514735281965536,Demagog,Stowarzyszenie Demagog,≤100
103423656514231,Fundacja Gdańska,Fundacja Gdańska,≤100
107741584286830,Studio Częstochowa,Studio Częstochowa,≤100
67202672014,Fairtrade Polska,Fundacja „Koalicja Sprawiedliwego Handlu” Fairtrade Polska,≤100
696622867467853,Polska Morska,Polska Morska,≤100
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,≤100
144808095552639,ING Polska,ING Polska,≤100
148119012566775,Alegoria,Alegoria,≤100
959387840744974,Bezpartyjni Samorządowcy,Ogólnopolska Federacja Bezpartyjni i Samorządowcy,≤100
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,≤100
101397679515965,EUROVECTOR,EUROVECTOR,≤100
110898338585970,Mgboardy,MGBoardy.pl,≤100
255100403945,Polityka,Polityka,≤100
176619537364977,Grodno S.A.,Grodno S.A.,≤100
101283291180,dziennik.pl,dziennik.pl,≤100
130752780291804,Fundacja Geremka,"Fundacja ""Centrum im. prof. Bronisława Geremka""",≤100
108567461681538,"Polska Katolicka, nie laicka",Fundacja Instytut Edukacji Społecznej i Religijnej im. Ks. Piotra Skargi,≤100
1381575975475340,EduAkcja - szkolenia dla nauczycieli,EduAkcja sp. z o.o.,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
504001623702653,Анна Самойленко,These ads ran without a disclaimer,≤100
102259404729098,Girls First Finance,These ads ran without a disclaimer,≤100
109231571984405,Accelera,These ads ran without a disclaimer,≤100
