Page ID,Page name,Disclaimer,Amount spent (XCD)
486723854867439,MYUPP,United Progressive Party,510
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),424
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),196
203239449860143,Harold Lovell,United Progressive Party,186
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100
434709106604434,Progressive Youth,United Progressive Party,≤100
102389305793337,Anthony Stuart,Democratic National Alliance,≤100
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100
