Page ID,Page name,Disclaimer,Amount spent (ZAR)
71617814288,Padilla,These ads ran without a disclaimer,1537
187645864452,Vryheidsfront Plus / Freedom Front Plus,Vryheidsfront Plus / Freedom Front Plus,272
136956534616,Times LIVE,TimesLIVE,155
133307190069756,Amnesty International South Africa,Amnesty International South Africa,131
57206003848,Greenpeace Africa,Greenpeace Africa,109
446648162438519,Thisisacumen,Acumen Media Management,≤100
478479492268974,Sunday Times ZA,Sunday Times,≤100
114506216924214,Centre For Risk Analysis,Centre For Risk Analysis,≤100
6011868110,Democratic Alliance,Democratic Alliance,≤100
102516258668317,Siza Water,Fahim N Farzanah Dawood,≤100
2145594122138312,Action Society,Action Society,≤100
116657351312927,Pledge To Vote SA,Pledge to Vote,≤100
225941290782035,Parliament of the Republic of South Africa,Parliament of the Republic of South Africa,≤100
106172744063430,The Daily Friend,The Daily Friend,≤100
379138726819,ACDP,African Christian Democratic Party,≤100
105758608971668,Free Speech Union South Africa,Free Speech Union South Africa,≤100
165736836881428,GroundUp,GroundUp News NPC,≤100
181204251979581,NEASA,National Employers' Association of South Africa,≤100
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,≤100
529955580364212,SMA International,These ads ran without a disclaimer,≤100
107169379305548,TLU SA,TLU SA,≤100
108373474911757,Cederberg Eerste Gemeenskapsorganisasie,Cederberg Eerste Gemeenskapsorganisasie,≤100
217696894929887,FW de Klerk Foundation,FW de Klerk Foundation,≤100
629021617133721,Judges Matter,Judges Matter,≤100
109136451414156,Educate Don't Indoctrinate,Educate Don't Indocrinate,≤100
614441158766955,Vote Dr Sipho P. Malapane 2024,Sipho Pienaar Malapane,≤100
103278761413963,Empowering SA,Empowering SA,≤100
1770207119865540,Civics Academy ZA,Civics Academy ZA,≤100
141100792595323,Community Chest Durban,Gordon Mc Donald,≤100
321608464631258,Metropolitan,These ads ran without a disclaimer,≤100
597918073626793,Democratic Alliance Free State,Democratic Alliance Free State,≤100
104692291218239,DA Free State Future Leaders Programme,Democratic Alliance Free State,≤100
153687711327670,Clean Cooking Alliance,These ads ran without a disclaimer,≤100
285530825204,Klitschko,These ads ran without a disclaimer,≤100
10750083165,The Africa Report,These ads ran without a disclaimer,≤100
