Page ID,Page name,Disclaimer,Amount spent (NOK)
14095969045,Fremskrittspartiet,Fremskrittspartiet,1006
151608890040,Innlandet FrP,Innlandet FrP,563
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,217
135843375926,UNICEF Norge,UNICEF Norge,150
111345183340,Fagforbundet,Fagforbundet,135
315144781934390,Fagforbundet Innlandet,Fagforbundet Innlandet,101
10953652930,Høyre,Høyre,≤100
275389322558295,LOs sommerpatrulje,LO,≤100
322525743444,Get Inspired,These ads ran without a disclaimer,≤100
371106536283235,DAG OG TID,Dag og Tid AS,≤100
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,≤100
203067569732001,Fellesforbundet,Fellesforbundet,≤100
171619972854769,Oslo Arbeiderparti,Oslo Arbeiderparti,≤100
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,≤100
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,≤100
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,≤100
117726821605303,PBL,PBL,≤100
200168040392101,Hustadvika kommune,These ads ran without a disclaimer,≤100
588928924452449,Gjøvik Arbeiderparti,Arbeiderpartiet,≤100
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,≤100
189828081044593,MS-forbundet i Norge,Ms-forbundet,≤100
20468812735,LO,LO,≤100
132368899297,Framtiden i våre hender,Framtiden i våre hender,≤100
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,≤100
157803497575876,NHO Reiseliv,NHO Reiseliv,≤100
60540214886,Lederne,These ads ran without a disclaimer,≤100
111322125898812,Filter Nyheter,Filter Nyheter,≤100
120374971332864,Kagge Forlag,Kagge Forlag,≤100
106716332332281,Njål Vigleik Grene-Johnsen,Njål Vigleik Grene-Johnsen,≤100
186245021399622,Agder Senterparti,Agder Senterparti,≤100
102203325950193,Ingvild Lemme Kristiansen,Stendi,≤100
176175415825122,apotek.no,Apotekforeningen,≤100
119878348024795,ULOBA,Uloba - Independent Living Norge,≤100
105939782037295,Altinget.no,Altinget AS,≤100
133640403364515,Næringsforeningen Haugalandet,Næringsforeningen Haugalandet,≤100
2398568533531114,Velferdsmiks,NHO Geneo,≤100
117840771633607,Nittedal FrP,Fremskrittspartiet,≤100
108203984145752,Kruse Larsen,Kruse Larsen,≤100
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
116313645108382,IFE - Institutt for energiteknikk,IFE - Institutt for energiteknikk,≤100
179839425383047,Yrkestrafikkforbundet - YTF,Yrkestrafikkforbundet,≤100
226417544192807,Tankesmien Agenda,Tankesmien Agenda,≤100
119062344777724,Bjerke FrP,Bjerke FrP,≤100
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,≤100
212877289145936,Frøya Senterparti,Frøya Senterparti,≤100
101517431718355,Generasjonspartiet,Generasjonspartiet,≤100
10254410675,Venstre,Venstre,≤100
105939459530874,Eidsvoll SV,EIDSVOLL SOSIALISTISK VENSTREPARTI,≤100
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,≤100
1583324988565868,Stortinget,Stortinget,≤100
189196954458836,Klar Tale,Stiftelsen Klar Tale,≤100
163294213706703,Norsk Sjøoffisersforbund,Norsk Sjøoffisersforbund,≤100
103638585942638,Folkets Parti Kristiansand,Folkets parti Kristiansand,≤100
193830890681005,Nittedal Senterparti,Nittedal Senterparti,≤100
107005018213171,Heia Nord-Norge,Heia Nord-Norge AS,≤100
120446271352301,Nord universitet,These ads ran without a disclaimer,≤100
1509543435991201,Larvik FrP,These ads ran without a disclaimer,≤100
100885889429302,Verdinytt,Verdinytt AS,≤100
107862825603742,Partiet Sentrum Grimstad,Partiet Sentrum Grimstad,≤100
105616118716008,Nordre Aker FrP,Nordre Aker FrP,≤100
609322219124074,Bærum MDG,Bærum Miljøpartiet de Grønne,≤100
1527451180873336,Eidsvoll Arbeiderparti,Eidsvoll Arbeiderparti,≤100
100588890043714,Bodø FrP,Bodø FrP,≤100
57542291449,FFO - Funksjonshemmedes fellesorganisasjon,Funksjonshemmedes Fellesorganisasjon (FFO),≤100
412991556169510,Ole Hovengen,Ole Hovengen,≤100
157932564240522,Lørenskog FrP,Lørenskog FrP,≤100
185741612014,Nordisk Ministerråd og Nordisk Råd,These ads ran without a disclaimer,≤100
154352147943400,Nes FrP,Nes FrP,≤100
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,≤100
849174888766485,Lyngdal FrP,Lyngdal FrP,≤100
136206693091663,Norges Fiskarlag,Norges Fiskarlag,≤100
159084565236,Transit magasin,Transit Media AS,≤100
183450288333331,Eidsvoll Høyre,Eidsvoll Høyre,≤100
125185750841432,LO Møre og Romsdal,LO,≤100
307525272933,Humanist forlag,Humanist forlag,≤100
239677012734267,Fredrikstad Høyre,Fredrikstad Høyre,≤100
298357179829,Trondheim Arbeiderparti,Trondheim Arbeiderparti,≤100
1496585820630164,Sarpsborg Høyre,Sarpsborg Høyre,≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
7783116506,Animals Asia,These ads ran without a disclaimer,≤100
252259504980102,Conscious Life,These ads ran without a disclaimer,≤100
1374723796115345,Glashütte Original,These ads ran without a disclaimer,≤100
