Page ID,Page name,Disclaimer,Amount spent (BAM)
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,≤100
111544041335161,Antikorupcija info,Antikorupcija.info,≤100
1533737623509285,SNSD Banja Luka - СНСД Бања Лука,SNSD - Gradski odbor Banja Luka,≤100
1570886583203959,Poslovni portal Capital.ba,Capital Media,≤100
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,≤100
1894157260888813,Dr Vlado Đajić - Др Владо Ђајић,Vlado Đajić,≤100
111544041335161,Antikorupcija info,Antikorupcija info,≤100
1922268018023038,Raskrinkavanje,UG Zašto ne,≤100
162926690478548,Oslobodjenje,Oslobodjenje,≤100
109652028193268,Revizije info,Revizije info,≤100
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,≤100
147315858633088,Istinomjer,Istinomjer,≤100
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,≤100
103027944875536,Маја Драгојевић Стојић - Maja Dragojević Stojić,Предраг Кукољ,≤100
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,≤100
2401351939921390,Raport.ba,Raport Media Group,≤100
104092069268284,Possesso nekretnine,These ads ran without a disclaimer,≤100
1494057107558990,Javna rasprava,Javna rasprava,≤100
222968021092962,RTV Slon - Tuzla,RTV SLON,≤100
102952309457793,History in Number,These ads ran without a disclaimer,≤100
306474736844372,Narod i Pravda Novi Grad Sarajevo,Narod i Pravda Novi Grad Sarajevo,≤100
100187109256916,Ustajte Diskriminisani,Ustajte Diskriminisani,≤100
753740401664958,Omer Berbić - vijećnik u GV Tuzla,Omer Berbic,≤100
994977213848354,Sarx,These ads ran without a disclaimer,≤100
852370551453606,GARP,These ads ran without a disclaimer,≤100
417853371621843,Mirnes Ajanović,Mirnes Ajanović,≤100
120481645203741,Dragan Bursać,Dragan Bursać,≤100
119698898115100,Vedad Deljković info,Vedad Deljković,≤100
551112228682671,Gasmet,These ads ran without a disclaimer,≤100
113288987176405,Zlatko Miletić,These ads ran without a disclaimer,≤100
717865981730224,Belmin Zukan,Belmin Zukan,≤100
85069283164,Admir Čavalić,Admir Čavalić,≤100
100733242113653,Porodice 3 plus,Porodice 3 plus,≤100
1588013511420367,Almir Babajić,Almir Babajić,≤100
2430163100537312,Spin Info,Spin Media,≤100
